Date_Time_1,envirolightlux_2,envirotemp_2,envirorh_2,envirooccupancy_2,envirosound_2,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vo2_16,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vco2_16,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,vh2o_16,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,kcal_hr_16,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,rq_16,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,foodupa_16,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,waterupa_16,bodymass_1,bodymass_2,bodymass_3,bodymass_4,bodymass_5,bodymass_6,bodymass_7,bodymass_8,bodymass_9,bodymass_10,bodymass_11,bodymass_12,bodymass_13,bodymass_14,bodymass_15,bodymass_16,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,xbreak_16,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,ybreak_16,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,pedmeters_16,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15,allmeters_16
08/01/2021 14:01:00,0,0,0,0,0,1.255965,1.095928,1.786103,1.487225,1.157549,1.200196,1.074804,1.176558,1.304884,1.457135,0.8333533,0.9438219,1.156807,1.363301,1.072023,1.147546,0.9150051,0.7893555,1.281047,1.308336,0.8987677,0.8800063,0.9165716,0.8782809,0.9368862,1.238393,0.6203408,0.6790292,0.8198885,1.0104,0.839583,0.888409,0.06489395,0.05776149,0.1541773,0.0975643,0.06295712,0.09089711,0.05189133,0.07092009,0.09661858,0.09323458,0.05025907,0.07568359,0.06872357,0.06784014,0.1019333,0.1180163,0.3577053,0.3115247,0.5073522,0.4384905,0.3333562,0.3421955,0.3149717,0.3364916,0.3707246,0.4267339,0.2382205,0.2682365,0.3279464,0.3894162,0.3092053,0.3303036,0.728022,0.7202805,0.7153077,0.8812916,0.7736653,0.7286478,0.849896,0.7451934,0.7134337,0.849238,0.7448879,0.7203397,0.708792,0.7397212,0.7755836,0.7743845,0,0,0,0.00888685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03026664,0.0322583,0,0,0,0,0,0.1576844,0,0,0,0.002916222,0,0,23.22208,24.41138,26.58452,25.23193,21.87663,24.47374,24.41711,20.83756,25.32658,23.5658,19.74329,23.35208,26.15717,21.92084,24.99374,25.67633,22,23,193,274,13,114,81,37,113,88,9,66,10,154,107,4,14,10,494,434,63,40,40,79,68,110,2,44,4,164,264,126,0,0.1608417,2.820128,2.180942,0.06936042,0.09290208,0.008049999,1.235891,0.02206458,0.804664,0,0,0.4179751,1.657166,4.237032,0.02900016,0.05577655,0.2450625,3.756781,3.32443,0.2875696,0.4348353,0.2556775,1.354394,0.4203361,1.343669,0.03063106,0.2438426,0.4357356,1.893499,4.857751,0.4379227
08/01/2021 14:21:00,0,0,0,0,0,1.205382,1.167035,1.01386,1.074889,1.106829,1.098096,1.172089,0.9577522,1.141781,1.273732,0.9304073,0.8748435,1.520477,0.8074935,0.7950032,1.078263,0.8471553,0.8473806,0.7103764,0.8938265,0.8126734,0.7793904,0.9663428,0.6933271,0.7710705,1.007608,0.6870086,0.6353135,1.187416,0.5944969,0.5769705,0.7869919,0.05868231,0.05181279,0.1352564,0.08661657,0.05369683,0.08183902,0.04633604,0.06088658,0.07980452,0.0825,0.04376263,0.06428388,0.06890468,0.06265301,0.08830579,0.1066239,0.3412419,0.3321893,0.2868779,0.3134825,0.3156498,0.3113762,0.3412787,0.2724793,0.3211538,0.3680516,0.265594,0.2490249,0.4383288,0.2303907,0.2262742,0.3071909,0.702145,0.7268609,0.7009774,0.8318532,0.7348412,0.7094309,0.8249033,0.7242886,0.6722938,0.7907121,0.7386942,0.7281783,0.7761008,0.7380598,0.7282995,0.7293595,0,0,0,0.01434327,0,0,0,0,0,0,0,0,0.1036712,0,0,0,0,0,0.04060365,0.05346679,0,0,0,0,0,0.1592102,0,0,0,0.008575439,0,0,23.22208,24.41138,26.58216,25.2182,21.87663,24.47374,24.41711,20.71765,25.32658,23.56944,19.74329,23.35208,26.15717,21.86824,24.99374,25.67633,9,2,2,4,0,11,11,0,5,0,0,3,34,0,6,1,24,25,12,13,14,9,7,0,9,0,0,11,444,0,25,13,0,0.21,3.873213,2.861626,0.085,0.115,0.01724167,1.616473,0.0225,0.876955,0,0,1.78089,3.224039,5.025252,0.04263846,0.1476984,0.3772167,5.327721,4.844884,0.3798169,0.6084479,0.406355,1.767679,0.5923582,1.478246,0.03603553,0.3254423,2.042464,3.637385,5.886466,0.5638642
08/01/2021 14:41:00,0,0,0,0,0,1.251505,1.049465,1.271449,1.158535,1.141363,1.074988,1.108189,0.9560513,1.063364,1.268293,1.207697,0.9779689,1.487394,0.9450593,0.8863243,1.03633,0.9007834,0.7530117,0.8708979,0.8886061,0.8488285,0.767822,0.9003711,0.6870995,0.7307564,1.053259,0.9421077,0.7359856,1.265044,0.7124513,0.6349427,0.766229,0.06028548,0.04969864,0.1134249,0.08025786,0.05141881,0.08220499,0.05079612,0.06211489,0.07666012,0.0826923,0.0530799,0.06501558,0.08705961,0.06223775,0.08260386,0.1026083,0.3557068,0.2981263,0.3584395,0.332915,0.3262149,0.3051443,0.3217909,0.2716638,0.2999361,0.3697948,0.3480903,0.2800905,0.4356574,0.270747,0.2517151,0.2958975,0.7203118,0.7174802,0.6845157,0.7671181,0.744039,0.7142261,0.8137721,0.7187328,0.686878,0.8297689,0.7753881,0.7516277,0.8506924,0.7538297,0.7158359,0.7410691,0,0,0,0.01434327,0,0,0,0,0,0,0,0,0.1931764,0,0,0,0,0,0.04060365,0.05346679,0,0,0,0,0,0.1592102,0,0,0.09611721,0.008575439,0,0,23.22208,24.41138,26.57978,25.20447,21.87663,24.47374,24.41711,20.70628,25.32658,23.56143,19.69356,23.35208,26.02304,21.86435,24.99374,25.67633,28,0,2,11,0,2,7,0,6,0,65,14,22,0,5,0,39,13,5,19,4,0,5,0,7,0,150,15,219,0,4,20,0,0.21,3.873213,2.874715,0.085,0.115,0.02,1.616473,0.0225,0.876955,0.36326,0,8.384165,3.224039,5.025252,0.05151346,0.2922841,0.4440542,5.371402,4.969886,0.4129024,0.6305128,0.4545699,1.767679,0.6428878,1.478246,0.4516599,0.3804045,9.497398,3.637385,5.959806,0.6629829
08/01/2021 15:01:00,0,0,0,0,0,1.806258,1.333976,1.09251,1.254293,0.9944304,1.108729,1.131679,0.9436686,1.222518,1.232921,0.7874588,0.8623357,1.081754,0.9458849,0.934868,0.9611027,1.416404,1.043759,0.767836,0.9446048,0.7390389,0.7876806,0.930621,0.6673239,0.8747836,1.020941,0.5933439,0.628737,0.8776347,0.6675888,0.676268,0.7183197,0.08096534,0.07375839,0.1208587,0.08447251,0.05965804,0.09746234,0.07433387,0.07666182,0.09646031,0.09371628,0.06364478,0.07523683,0.09703314,0.06785489,0.08918767,0.1135183,0.5211004,0.3846959,0.3092884,0.3592742,0.2841856,0.3144407,0.3293528,0.2674235,0.3471271,0.3592861,0.2255768,0.2456309,0.3140314,0.2679651,0.265936,0.27493,0.7827621,0.7799947,0.7027572,0.7533538,0.741797,0.710005,0.8202913,0.707678,0.7131218,0.8281384,0.7519761,0.7314126,0.8110211,0.7061927,0.7240382,0.7495077,0.04189957,0,0,0.01434327,0,0,0.03581209,0,0,0,0,0,0.1931764,0,0,0,0,0.002305705,0.04060365,0.05346679,0,0,0,0,0,0.1592102,0,0,0.1153714,0.008575439,0,0,23.22208,24.41138,26.5774,25.19074,21.87663,24.47374,24.41711,20.69492,25.32658,23.55342,19.63475,23.35208,26.03047,21.86045,24.99374,25.67633,271,33,2,8,0,3,48,0,44,0,0,2,0,0,7,0,345,182,9,10,28,3,135,0,38,0,0,4,0,0,16,17,2.431142,0.755936,3.873213,2.913959,0.085,0.115,0.09613994,1.616473,0.0225,0.876955,1.785246,0,8.887692,3.224039,5.025252,0.06251346,3.472636,1.276279,5.415391,5.082695,0.4539044,0.6331292,0.6926692,1.767679,0.8393139,1.479683,2.115949,0.444339,10.11395,3.637385,6.010919,0.7383932
08/01/2021 15:21:00,0,0,0,0,0,1.214497,1.04624,1.103898,1.171991,0.9794341,1.043695,1.177335,0.9573783,1.041632,1.182711,0.8850294,0.8639764,1.111644,1.308452,0.7994092,0.9466876,0.9539714,0.7605271,0.7664562,0.8923166,0.720118,0.7520769,1.013747,0.6866386,0.7032178,0.95652,0.6513209,0.6522454,0.880397,0.9458417,0.6263509,0.7206154,0.09053539,0.08162043,0.1121151,0.08686559,0.0647056,0.09903305,0.07864558,0.08317108,0.09950726,0.09670949,0.06347495,0.07877275,0.09449155,0.07671799,0.09451238,0.1156845,0.3504854,0.2978626,0.3118897,0.3363431,0.279384,0.2966999,0.3456649,0.271947,0.2929699,0.3431385,0.2524957,0.2475789,0.3212825,0.3721626,0.230593,0.2716738,0.7802387,0.7265334,0.6949168,0.761721,0.735195,0.7210902,0.8614474,0.7177377,0.6752653,0.808791,0.7356706,0.756266,0.7925211,0.7193122,0.7885602,0.7602991,0.06127902,0,0,0.01434327,0,0,0.1612553,0,0,0,0,0,0.1931764,0,0,0,0,0.003417969,0.04060365,0.05346679,0,0,0,0,0,0.1592102,0,0,0.1153714,0.008714039,0,0,23.22208,24.41138,26.57502,25.177,21.87663,24.47374,24.41711,20.68356,25.32658,23.54541,19.62483,23.35208,26.04902,21.82932,24.99374,25.67633,32,2,5,17,0,5,73,4,6,0,0,0,0,65,10,2,49,25,8,26,11,2,14,9,6,0,0,2,1,142,55,44,3.88437,1.05154,3.873213,2.915646,0.085,0.115,0.3982946,1.767514,0.0225,0.876955,1.785246,0,8.887692,3.868044,5.404986,0.06263846,5.729365,1.844657,5.450439,5.142928,0.5097024,0.6932211,1.6213,1.922247,0.9200869,1.483246,2.115993,0.4574079,10.11879,4.339956,6.531722,0.8162227
08/01/2021 15:41:00,0,0,0,0,0,1.371047,1.087279,1.211013,1.484085,1.161635,1.356561,1.122946,1.206261,1.180748,1.278513,0.8795244,1.282507,1.092206,1.244263,1.306539,1.116975,1.024052,0.7808273,0.8582409,1.178412,0.8694006,1.022554,0.990299,0.8808062,0.8292053,1.068117,0.6698037,1.005862,0.9107317,0.92749,1.021253,0.8850498,0.07749855,0.06944262,0.09841014,0.09292971,0.05933222,0.09068864,0.05972392,0.08020393,0.08174992,0.08207959,0.04699858,0.068739,0.07919448,0.07516448,0.08521726,0.1013763,0.3921539,0.3089138,0.343309,0.4291261,0.3323736,0.388629,0.331248,0.3436827,0.3342257,0.3731975,0.2524205,0.3700106,0.3186991,0.3557667,0.3767145,0.3228518,0.7460659,0.7175547,0.707723,0.7928171,0.7486917,0.7506983,0.8819779,0.7286883,0.7008591,0.8338181,0.7612898,0.7835918,0.8348516,0.7438548,0.7788257,0.7934074,0.1018279,0,0,0.04108592,0,0,0.1612553,0,0,0,0,0,0.1931764,0,0,0,0,0.003417969,0.04060365,0.05346679,0,0,0,0,0,0.1592102,0,0,0.1153714,0.01338851,0,0,23.22208,24.41138,26.57264,25.16327,21.87663,24.47374,24.41711,20.67188,25.32658,23.47538,19.61491,23.35208,26.06757,21.68967,24.99374,25.67633,58,0,7,179,0,108,17,32,17,16,0,105,0,201,137,11,69,15,20,165,29,86,10,90,12,34,0,307,0,219,448,168,4.051005,1.05154,3.873213,3.283854,0.08745833,0.4193729,0.4066446,2.101861,0.0225,0.9445199,1.785246,0.8658119,8.887692,7.926073,7.421546,0.07168013,6.032387,1.906836,5.510683,6.35487,0.6245981,1.320593,1.726371,2.289984,0.9731123,1.567183,2.115993,1.723438,10.11895,8.990157,9.110962,1.123295
08/01/2021 16:01:00,0,0,0,0,0,1.266655,1.358566,1.311173,1.14626,1.464697,1.112139,1.094079,1.261559,1.4649,1.139362,0.8881934,0.8311449,1.170075,1.299726,1.211955,1.362212,1.024251,1.009604,0.9578566,0.8939037,1.167527,0.8199273,0.929036,0.9097316,1.02594,0.8953087,0.6454756,0.6063316,0.949086,0.9232365,0.9396117,1.057124,0.06664246,0.06461272,0.08924885,0.08196277,0.0586917,0.0784284,0.05164602,0.08598093,0.07809252,0.08468667,0.04142646,0.0645001,0.08501181,0.07636152,0.09335447,0.1180504,0.3674827,0.3882438,0.3736034,0.3303642,0.4238193,0.3173867,0.3203568,0.358678,0.4144716,0.3288263,0.252856,0.2367687,0.3396574,0.3685991,0.3489315,0.3922595,0.8088414,0.7396443,0.7289307,0.780188,0.7920884,0.7375705,0.8489162,0.7198591,0.6982468,0.7854706,0.7259475,0.7301583,0.8092434,0.712648,0.7688292,0.7767621,0.1701351,0,0,0.06796262,0,0,0.1612553,0,0,0,0,0,0.1931764,0,0,0,0,0.004835892,0.04060365,0.05346679,0,0,0,0.0002483368,0,0.1592102,0,0,0.1153714,0.02308897,0.002167409,0,23.22208,24.41138,26.57026,25.14954,21.88787,24.47374,24.41711,20.6178,25.28916,23.03482,19.60499,23.35208,26.08611,21.62092,24.99374,25.67633,21,45,44,21,27,4,21,77,276,0,0,7,0,276,44,78,27,184,59,11,140,4,4,184,187,0,0,36,0,365,188,306,4.382245,1.489191,3.877256,3.571862,0.5640048,0.8381804,0.4156029,5.450744,0.5500965,1.323864,1.785246,2.367117,8.887692,12.21261,11.21276,1.245833,6.585739,2.537828,5.600055,7.146311,1.270878,1.965642,1.821306,6.027752,1.831798,2.04429,2.115993,3.768808,10.11895,13.87105,13.9263,3.419171
08/01/2021 16:21:00,0,0,0,0,0,1.505902,1.107761,2.159351,1.291603,1.28562,1.11981,1.083206,0.7937619,1.131386,1.230582,1.131211,0.8761593,1.107552,1.171094,1.546287,1.000403,1.252575,0.8237616,1.60884,1.052501,1.129747,0.818305,0.9027702,0.5529104,0.8032516,0.9212101,0.8474502,0.6483801,0.8353628,0.8217455,1.442508,0.7332506,0.06597769,0.08822139,0.1484289,0.08437606,0.06812409,0.0748757,0.04898283,0.07606332,0.09315891,0.08694826,0.0538604,0.06302401,0.08086072,0.07859562,0.1020711,0.116968,0.4392064,0.3166059,0.6173627,0.3752565,0.3789678,0.319093,0.3160427,0.2243841,0.3208312,0.3521148,0.323723,0.2502031,0.3173265,0.3314479,0.4613597,0.2852137,0.8303341,0.7428559,0.7462611,0.816793,0.8780784,0.73088,0.8334663,0.6964138,0.7005695,0.7484183,0.7523053,0.7397499,0.7555039,0.7029749,0.9325899,0.7345366,0.2501466,0,0,0.06796262,0,0,0.1612553,0,0,0,0,0,0.1931764,0,0,0,0,0.007537842,0.09132622,0.05346679,0,0,0,0.001068115,0,0.1592102,0,0,0.1153714,0.02704491,0.08797865,0,23.22208,24.41138,26.56788,25.13581,21.9729,24.47374,24.41711,20.74032,25.21344,23.00928,19.58398,23.35208,26.10466,21.62445,24.99374,25.67633,144,43,186,17,7,13,26,11,63,0,51,2,0,167,57,4,205,103,709,18,50,25,36,21,42,0,103,27,0,243,230,21,4.862114,2.724565,6.460665,3.595987,0.8569143,0.8449067,0.6538057,6.773699,2.13806,1.323864,1.928885,2.374792,8.887692,17.69685,11.79849,1.703721,7.460545,4.394674,9.347186,7.298927,1.935023,1.991312,2.230539,7.458209,4.229476,2.04429,2.297809,3.853092,10.11895,20.22301,14.98238,4.229797
08/01/2021 16:41:00,0,0,0,0,0,1.375283,1.738317,2.129988,1.381077,1.438486,1.619345,1.400932,1.62212,1.460866,1.115491,1.357764,1.237271,1.431721,1.53969,1.41582,1.603644,1.125974,1.441062,1.76989,1.174085,1.223852,1.345109,1.186104,1.254726,1.16564,0.8688488,1.153205,1.099327,1.237556,1.281764,1.391492,1.418921,0.06885356,0.0866451,0.1900389,0.09188886,0.072845,0.08172041,0.06370601,0.07935951,0.09171048,0.07816986,0.05305604,0.06413954,0.08106968,0.07656237,0.1038999,0.1192601,0.399919,0.5066712,0.6211069,0.4044817,0.4213593,0.4721718,0.4099742,0.4668302,0.4227883,0.3214259,0.3975837,0.3655164,0.420669,0.4491331,0.4271243,0.4733572,0.8177264,0.8283846,0.828693,0.8445507,0.8450392,0.8328246,0.8478791,0.7731891,0.8033375,0.8047893,0.8510817,0.8918879,0.8637401,0.8288063,0.9989461,0.8864228,0.3093865,0,0,0.1377368,0,0,0.1919164,0,0,0,0,0.009126986,0.3592191,0,0,0,0,0.01388354,0.2679544,0.05346679,0.003567989,0.01836168,0,0.001068115,0,0.1592102,0,0.01056322,0.1434162,0.02935791,0.2308469,0.0137556,23.22208,24.41138,26.56551,25.12208,22.07135,24.48267,24.49149,20.95932,25.28317,22.98374,19.83014,23.34995,26.04816,22.105,24.99374,25.67697,36,16,117,212,75,132,257,163,223,2,73,111,34,96,74,147,58,134,544,173,344,396,376,145,173,0,204,329,270,196,349,521,5.440763,2.870905,11.4599,3.997614,1.104289,2.066441,1.705987,7.440589,3.180847,1.323864,3.860736,4.015987,9.967032,20.47484,13.98878,3.166693,8.838616,4.87117,15.66245,8.361582,2.616175,4.043519,3.886788,8.604689,6.026858,2.051797,4.699215,5.97213,11.48133,23.6269,18.08609,6.198885
08/01/2021 17:01:00,0,0,0,0,0,1.861532,1.71146,1.789375,1.165233,1.732285,1.248946,1.477668,1.273025,1.1499,1.544871,1.326437,0.9405323,1.228179,1.646823,1.034355,1.443058,1.582049,1.611171,1.617369,0.994,1.471283,1.192898,1.273842,1.13053,0.9814278,1.170733,1.203478,0.8813047,1.077032,1.466041,1.015556,1.304497,0.07657956,0.09393527,0.2048936,0.09189041,0.08964883,0.09215684,0.08621967,0.09215327,0.09595767,0.09386288,0.07676862,0.08248931,0.1054738,0.09278687,0.1154079,0.1368953,0.5451627,0.5116091,0.5304441,0.3414929,0.5072506,0.3744865,0.4339415,0.3760416,0.3370329,0.4429902,0.3935121,0.2808817,0.3618871,0.4866943,0.3119758,0.427792,0.848067,0.9412063,0.9033712,0.8516079,0.849408,0.9575322,0.8628719,0.8892571,0.8524801,0.754203,0.9076564,0.9389645,0.875792,0.888952,0.9827417,0.9088011,0.360051,0,0,0.1630552,0,0,0.261783,0,0,0.0109484,0.09869681,0.04824843,0.4440351,0,0,0.06587267,0.002225317,0.3352622,0.3977168,0.05346679,0.02789307,0.05748867,0.03221073,0.0263252,0,0.1592102,0.02088157,0.1160619,0.2438657,0.03056641,0.2602692,0.07897953,23.29314,24.41138,26.56313,25.10834,22.1698,24.55024,23.80031,21.32246,25.30865,22.90754,20.22979,23.26064,25.88993,22.94043,24.99374,25.67635,310,48,107,19,71,62,286,20,8,32,242,19,0,129,4,39,365,192,555,5,331,65,411,46,8,58,325,33,0,222,9,216,7.635548,3.851863,17.14627,4.173798,4.140788,3.437813,6.350591,8.636082,3.646153,1.480606,7.111432,6.24473,11.94892,23.52068,14.60029,7.018366,11.69911,6.426298,22.85848,9.231468,6.675877,6.352395,10.10311,10.16434,6.788571,2.261291,8.723401,8.781597,13.79547,27.34536,19.22011,11.2915
