Date_Time_1,envirolightlux_2,envirotemp_2,envirorh_2,envirooccupancy_2,envirosound_2,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vo2_16,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vco2_16,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,vh2o_16,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,kcal_hr_16,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,rq_16,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,foodupa_16,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,waterupa_16,bodymass_1,bodymass_2,bodymass_3,bodymass_4,bodymass_5,bodymass_6,bodymass_7,bodymass_8,bodymass_9,bodymass_10,bodymass_11,bodymass_12,bodymass_13,bodymass_14,bodymass_15,bodymass_16,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,xbreak_16,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,ybreak_16,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,pedmeters_16,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15,allmeters_16
08/04/2021 11:56:00,0,0,0,0,0,1.139572,1.435346,2.197025,1.679296,1.880011,1.497002,1.486885,1.338312,1.753325,1.572933,1.548057,1.831793,1.786418,1.767876,1.820582,1.966696,0.838419,1.105446,1.733029,1.408962,1.57641,1.103581,1.254691,1.019901,1.339316,1.227115,1.184267,1.358746,1.415267,1.307955,1.38537,1.4918,0.1285897,0.1804522,0.2993726,0.2285512,0.2048702,0.1831204,0.1319076,0.1542995,0.1980617,0.1823385,0.1579121,0.1758288,0.2040735,0.1798876,0.1959263,0.1853781,0.3251006,0.4127594,0.6345123,0.4905851,0.5491579,0.4272147,0.4348502,0.3841379,0.5034683,0.4533671,0.4446414,0.523312,0.5163336,0.5048278,0.522428,0.5640408,0.7416803,0.7705253,0.7829481,0.8400849,0.8392358,0.7369645,0.8445746,0.7614186,0.7876218,0.7813128,0.7653574,0.7423137,0.793662,0.7415233,0.7612488,0.7609904,0.04841006,0,0,0.06761793,0,0,0.02849995,0,0,0.05521832,0,0,0.00701042,0,0,0,0.05313167,0.08586498,0,0.04608312,0.007219121,0,0.0008726121,0.03642899,0.02241492,0.01078158,0.006612308,0.04458316,0.008266521,0.02939375,1.176562e-05,0.03264405,23.91482,24.51327,26.92106,25.46376,22.72841,23.92169,25.5629,21.05837,25.09299,22.69906,20.81872,23.88376,26.41581,22.57855,24.94716,25.87366,449,675,108,238,60,167,321,121,456,49,186,201,197,445,485,281,607,748,549,530,300,435,767,295,547,64,304,665,474,803,931,571,5.583793,5.107689,2.042155,2.596123,2.033513,1.209218,3.359682,2.725721,3.251616,0.7460018,3.448577,4.493923,1.946227,7.808007,8.036138,3.747419,6.368684,5.942877,2.864026,3.387649,2.44153,2.097402,4.398098,3.053411,4.345192,0.9508179,3.886699,5.172635,2.79203,8.586701,8.957506,4.58448
08/04/2021 12:16:00,0,0,0,0,0,1.068524,1.282385,1.621304,1.392257,1.779365,1.285532,1.611726,1.076635,1.318315,1.305699,1.301637,1.635251,1.677091,1.37925,1.677137,1.617666,0.7322736,0.9472992,1.178951,1.113586,1.5324,0.9252858,1.365736,0.7885086,0.9260092,0.9486904,0.9680966,1.185178,1.373194,1.017461,1.240903,1.225769,0.1457368,0.1832153,0.2699676,0.2229174,0.1988853,0.1942948,0.1635922,0.1713778,0.2078865,0.1736123,0.1579504,0.1853651,0.2306203,0.1990654,0.2500247,0.2050078,0.3012569,0.3660955,0.4616087,0.4031107,0.5224388,0.3653789,0.4717389,0.3069064,0.3731787,0.3717006,0.3720279,0.4653199,0.4876901,0.3936561,0.4789221,0.4638552,0.682686,0.735594,0.7254246,0.7955484,0.8611625,0.7175297,0.8482868,0.7314278,0.7006043,0.7267218,0.7442218,0.7252378,0.8188616,0.7375512,0.7397073,0.757975,0.07370019,0,0,0.1075752,0,0,0.1577421,0,0,0.05776982,0,0,0.04281592,0,0,0,0.0821227,0.1880992,0.0747949,0.05651853,0.01046201,0,0.02293255,0.06243901,0.02435302,0.01446534,0.006744385,0.09348103,0.01619468,0.03891019,0.01504573,0.05993625,23.70571,24.60287,26.85663,25.44215,22.72841,23.92169,25.76569,20.90378,25.00349,22.67186,20.76624,23.45903,26.42958,22.57855,24.77214,25.87366,36,204,46,125,2,17,260,0,27,0,96,207,144,181,333,314,43,205,193,233,278,23,773,0,58,0,167,613,421,302,661,703,10.85389,11.0327,4.680602,6.028886,3.334721,1.712893,9.632671,5.004019,4.479183,1.031179,6.459454,12.69603,5.403409,17.37499,18.94452,9.492476,12.12346,13.49665,6.738211,8.245464,4.343111,3.506438,12.38984,5.572007,6.644774,1.266943,7.495576,14.73929,7.618047,19.24768,21.69448,11.95116
08/04/2021 12:36:00,0,0,0,0,0,0.9559442,1.185602,1.225669,1.499116,1.779806,1.276636,1.291726,0.961192,1.214279,1.231013,1.050514,1.248425,1.573068,0.9130585,1.544529,1.389043,0.6405941,0.8516843,0.829833,1.155854,1.543255,0.9365805,1.065549,0.6787429,0.8530534,0.9081008,0.7699642,0.8895367,1.320353,0.6617521,1.101212,1.042895,0.155879,0.1806275,0.2469907,0.2114352,0.2025136,0.2025937,0.1922433,0.1622829,0.1979722,0.165032,0.1484725,0.1846798,0.2358167,0.1997427,0.2675997,0.2130309,0.2685524,0.3368653,0.3448893,0.4311834,0.5232635,0.3640248,0.3761514,0.2723248,0.343737,0.3513469,0.2994994,0.3542323,0.4595862,0.2598157,0.4382956,0.3976596,0.6704506,0.7169061,0.6783919,0.7737027,0.8671033,0.7337204,0.8237236,0.7062994,0.7023569,0.7381716,0.7324697,0.7104645,0.8391916,0.724534,0.7140446,0.7508764,0.07370019,0,0,0.2000479,0,0,0.1644594,0,0,0.05776982,0,0,0.1724756,0,0,0,0.0821227,0.1919913,0.08639525,0.0809953,0.04018047,0,0.02819825,0.06243901,0.02435302,0.01446534,0.006744385,0.09939585,0.02426148,0.03891019,0.02600822,0.06695546,23.81605,24.64812,26.79162,25.45754,22.72841,23.92169,25.73847,20.88805,25.1239,22.66332,20.73864,23.16285,26.41843,22.57855,24.63191,25.87366,0,39,2,79,2,14,106,1,16,0,0,2,204,2,298,296,0,28,18,155,357,20,136,1,19,0,1,87,637,0,572,337,10.98546,11.43535,4.882882,8.585143,4.10912,1.933016,12.9477,5.004019,4.479183,1.031179,7.129275,17.82672,9.312735,18.88331,25.47712,14.70039,12.2569,14.26977,7.183931,11.44912,5.967255,3.808599,17.07355,5.580894,6.784284,1.266943,8.411326,20.91771,12.93106,20.97281,29.77329,18.92389
08/04/2021 12:56:00,0,0,0,0,0,1.106211,1.048644,1.312563,1.273724,1.737054,1.209111,1.250796,1.043598,1.138423,1.181228,1.177307,0.9920131,1.421678,0.9252834,1.211544,1.08217,0.7928443,0.7822803,0.876314,1.024992,1.467435,0.8751344,0.9276421,0.7557327,0.8017349,0.8805438,0.870517,0.6966415,1.198586,0.6658932,0.861631,0.7718934,0.1732739,0.1973526,0.2448782,0.2305099,0.2273611,0.2277825,0.2172124,0.1771716,0.2017932,0.1777791,0.1565894,0.1924389,0.2519169,0.1982919,0.2794028,0.2260166,0.3141877,0.2998744,0.3685208,0.3692033,0.5081227,0.3439803,0.3573216,0.2969195,0.3223946,0.337746,0.3361535,0.2808006,0.4157081,0.2629812,0.3436595,0.3071127,0.7138235,0.7457895,0.6665038,0.8025668,0.844644,0.7240912,0.7408745,0.7226233,0.7035541,0.7451367,0.7358367,0.7018753,0.8418627,0.7202482,0.7092991,0.7135563,0.09174515,0,0,0.2145444,0,0,0.1644594,0,0,0.05776982,0,0,0.1869753,0,0,0,0.0821227,0.1925659,0.08639525,0.08917236,0.1146668,0,0.02819825,0.06243901,0.02435302,0.01446534,0.007027169,0.09939585,0.05459574,0.03891019,0.02716061,0.06695546,23.92475,24.69337,26.72662,25.47292,22.72841,23.92169,25.71125,20.8354,25.24432,22.65479,20.57607,23.20653,26.40289,22.57855,24.6315,25.87366,198,20,0,65,64,14,73,18,20,0,63,0,66,0,19,20,270,18,2,107,351,22,48,64,38,0,118,6,192,0,119,31,12.03262,11.468,4.882882,9.337656,6.058384,1.965951,12.99576,5.467898,4.479183,1.031179,7.481995,17.89982,12.41961,18.88555,28.39791,15.0986,13.44658,14.36743,7.206483,12.74588,8.739061,3.955447,17.87587,6.068744,7.015251,1.266943,8.837035,21.08431,17.43707,20.97505,33.92915,20.1436
08/04/2021 13:16:00,0,0,0,0,0,1.030259,1.056616,1.752172,1.114265,1.394308,1.152421,1.16773,0.8850597,1.137485,1.145298,0.9111162,0.9972729,1.383567,0.9285036,1.125063,1.124948,0.83893,0.7962778,1.256324,0.8948657,1.143585,0.8356696,0.8727635,0.6323718,0.8033812,0.8571585,0.669619,0.6942599,1.134182,0.6735267,0.7726649,0.794452,0.176516,0.1945253,0.2404517,0.2224465,0.2192737,0.211532,0.1994615,0.1657959,0.2063353,0.1779474,0.1559461,0.1904913,0.2422717,0.1936955,0.2703875,0.2141913,0.2992865,0.3026884,0.4976883,0.3228625,0.4055863,0.3279564,0.3340381,0.2512454,0.3222821,0.3276981,0.2598785,0.2818862,0.4024226,0.2642492,0.3173065,0.3187251,0.814158,0.7533845,0.7133594,0.8056785,0.8188186,0.7250829,0.7491763,0.7143239,0.7062585,0.7483236,0.7349645,0.6953211,0.8181145,0.7267337,0.6867978,0.706906,0.1402799,0,0,0.2153645,0,0,0.1644594,0,0,0.05776982,0,0,0.1967708,0,0,0,0.0821227,0.1925659,0.08639525,0.08917236,0.1349182,0,0.02819825,0.06243901,0.02435302,0.01446534,0.007385254,0.09939585,0.05499268,0.03891019,0.02716061,0.06695546,23.97451,24.73862,26.73642,25.4883,22.72841,23.92169,25.68403,20.76266,25.36473,22.64625,20.68003,23.25022,26.38736,22.57855,24.64629,25.87366,60,14,103,10,0,9,13,0,8,0,0,0,58,0,7,11,96,14,421,12,34,14,12,0,25,0,0,21,306,0,10,19,15.98021,11.49801,5.505274,9.526135,7.915123,1.972893,13.00907,6.229663,4.483117,1.031179,8.551626,17.89982,12.83229,18.88555,28.44013,15.13203,17.78018,14.57137,8.16256,13.1937,11.18019,4.099368,18.00842,6.868831,7.138299,1.266943,10.16462,21.13997,18.29087,20.97505,34.18586,20.35463
08/04/2021 13:36:00,0,0,0,0,0,0.8380951,1.072343,1.741755,1.229719,1.196984,1.143902,1.204712,0.9038944,1.407668,1.613047,0.9289913,0.9998177,1.33054,1.030896,1.088495,1.047563,0.629661,0.7993884,1.266541,0.9946892,0.9958721,0.8289313,0.9185132,0.6561785,1.041909,1.255669,0.6937432,0.6905698,1.059501,0.758049,0.7557738,0.7516243,0.1375612,0.1570627,0.27133,0.2023793,0.1829442,0.1750917,0.1543671,0.1277302,0.1986629,0.1599168,0.1278789,0.1642223,0.209625,0.1729712,0.2358406,0.1821134,0.2399603,0.3066136,0.495903,0.3567868,0.3491248,0.3254949,0.3458187,0.2572789,0.4019983,0.4647473,0.2657061,0.2822431,0.3849279,0.2940698,0.3075387,0.2975844,0.7516258,0.7439192,0.7282559,0.8086222,0.830485,0.7247109,0.7621675,0.7260973,0.7388892,0.7756954,0.7469047,0.6906151,0.7944362,0.7347437,0.6944641,0.717319,0.1598522,0,0,0.2153645,0,0,0.1644594,0,0,0.091301,0,0,0.2051385,0,0,0,0.0821227,0.1925659,0.08639525,0.08917236,0.1349182,0,0.02819825,0.06243901,0.02435302,0.0189579,0.007385254,0.09939585,0.05499268,0.04040951,0.02716061,0.06695546,23.76348,24.78386,27.15982,25.50369,22.72841,23.92169,25.65681,20.7813,25.48514,22.47064,20.66082,23.2939,26.37182,22.57855,24.66109,25.87366,0,43,77,23,5,3,14,0,130,188,0,0,7,57,17,11,0,54,384,15,34,8,9,0,173,254,0,2,61,84,43,23,16.95942,11.50588,8.988781,9.539596,7.92274,1.974259,13.01776,6.229663,4.723135,1.715677,8.551626,17.89982,14.07999,19.10075,28.4663,15.15602,18.86307,14.68315,13.0956,13.3177,11.32553,4.147558,18.10162,6.868831,7.759626,2.206897,10.16462,21.17886,20.31869,21.22495,34.47124,20.54123
08/04/2021 13:56:00,0,0,0,0,0,0.8201053,1.358032,1.097134,1.186215,1.233714,1.325408,1.46926,0.9260822,1.603135,1.585791,1.007168,1.059898,1.256667,1.416286,1.0363,1.096038,0.6073983,1.046868,0.7532364,0.9069594,1.018342,0.9791678,1.225122,0.6869939,1.192158,1.347286,0.7585126,0.7448341,0.9513505,1.055497,0.731738,0.7660764,0.1112587,0.1450315,0.2448236,0.1734529,0.1506526,0.1513505,0.1364353,0.1032261,0.1909233,0.1548574,0.1090187,0.1408044,0.1738406,0.1660729,0.2117404,0.1606516,0.2342291,0.3905904,0.3094131,0.3406782,0.3593011,0.3783834,0.4287203,0.2645703,0.4581889,0.464382,0.2884899,0.3000507,0.3602832,0.4049378,0.2936015,0.310006,0.7411169,0.7699044,0.6855879,0.7633072,0.8263139,0.736849,0.8316126,0.7423223,0.7430115,0.8497046,0.754061,0.7028627,0.7581639,0.7454978,0.7055557,0.6993958,0.1598522,0,0,0.2210359,0,0,0.3951919,0,0,0.2209167,0,0,0.2051385,0,0,0,0.0821227,0.192951,0.08639525,0.08917249,0.1349182,0,0.02942968,0.06243901,0.03666666,0.1063471,0.007385254,0.09939585,0.05499268,0.0509527,0.02716061,0.06695546,23.68416,24.82911,27.21687,25.51907,22.72841,23.92169,25.62959,20.79995,25.39246,22.74557,20.64161,23.33758,26.35628,22.57855,24.67587,25.87366,14,286,6,26,0,76,116,0,409,276,0,1,1,129,7,4,18,347,6,55,13,159,338,0,431,364,0,16,7,197,21,39,17.4781,12.79959,9.614508,9.644794,7.925123,2.014737,13.61023,6.229663,7.590316,6.172239,8.551626,17.89982,14.07999,22.60406,28.46799,15.15961,19.38176,16.88633,14.24432,13.53579,11.40649,4.330417,19.12277,6.868831,12.04979,7.826589,10.16462,21.18868,20.38921,25.1618,34.59155,20.65044
08/04/2021 14:16:00,0,0,0,0,0,0.8320426,1.039064,1.186209,1.584663,1.438739,1.490699,1.192397,1.209482,1.21705,1.294267,1.319945,1.353138,1.268286,0.8352193,1.124717,1.310324,0.5914786,0.7167248,0.8027161,1.334269,1.293363,1.110374,1.017571,0.9224721,0.8415766,1.053306,0.9707136,1.02871,0.9742017,0.5941,0.77428,0.9691437,0.09642679,0.130102,0.213155,0.1704451,0.1490053,0.1560911,0.13708,0.1120955,0.1853572,0.1557688,0.1076379,0.1409828,0.1711226,0.1591327,0.1999973,0.1634881,0.2359953,0.2932589,0.3337593,0.4632516,0.4260317,0.4261752,0.3494803,0.3472094,0.3436306,0.3759398,0.3765307,0.3882282,0.3645469,0.2369204,0.3173319,0.3741516,0.7120691,0.6862916,0.6765867,0.8434703,0.898436,0.7403357,0.8512086,0.7629035,0.6853812,0.812157,0.7359765,0.7611708,0.76781,0.710465,0.6885546,0.7390387,0.1598522,0,0,0.317354,0,0,0.4954567,0,0,0.2523834,0,0,0.2056004,0,0,0,0.0821227,0.1996764,0.08639525,0.09084981,0.1349182,0.002412681,0.04901124,0.06243901,0.0422365,0.11615,0.01445201,0.09939585,0.05499268,0.0582584,0.02716061,0.0688612,23.77959,24.87436,27.21563,25.38561,22.72841,23.92169,25.60237,20.79394,25.22933,22.75056,20.72231,23.38126,26.34075,22.57855,24.69066,25.87366,0,31,14,284,39,111,122,74,43,0,112,32,2,0,3,45,0,13,18,502,341,189,130,162,97,0,200,239,53,0,8,221,17.50529,13.63776,9.619476,13.18218,9.046967,3.988374,16.13389,7.194222,8.993396,7.721387,9.273563,18.78318,14.08241,23.91963,28.46799,15.26421,19.40895,18.58939,14.30248,18.23541,13.22779,7.299227,22.69569,7.963164,14.25954,9.676017,11.03023,22.42838,20.4786,26.59361,34.67554,21.16977
08/04/2021 14:36:00,0,0,0,0,0,0.9351239,0.9998626,1.266436,1.178371,1.265553,1.295249,1.108116,1.007807,1.193487,1.178896,1.267063,0.9874646,1.827221,0.9250578,1.15183,1.12362,0.6853789,0.707926,0.8654898,0.9591526,1.126802,0.9054756,0.8475217,0.7297034,0.8214287,0.9405049,0.9362124,0.7061693,1.545156,0.6762945,0.8256937,0.7821519,0.08915666,0.1196803,0.1834464,0.1652041,0.1424494,0.1462524,0.1235364,0.1149459,0.162155,0.1375146,0.1153757,0.139385,0.1734103,0.1460939,0.1877947,0.1594868,0.2666011,0.2834055,0.3568953,0.3422869,0.3740273,0.3663619,0.3182667,0.2867291,0.3367219,0.3411738,0.3617367,0.2803573,0.5346012,0.2636181,0.3271547,0.3175949,0.7283556,0.7088986,0.6836784,0.8134558,0.8894619,0.6965821,0.7654109,0.7213403,0.6855541,0.7981446,0.7399444,0.7113418,0.8421873,0.7339079,0.7168713,0.6976709,0.1883165,0,0,0.3253518,0,0,0.4954567,0,0,0.2523834,0,0,0.3661646,0,0,0,0.0821227,0.1996764,0.08639525,0.09097298,0.1349182,0.002838135,0.04901124,0.06243901,0.0422365,0.11615,0.04077148,0.09939585,0.07979387,0.0582584,0.02716061,0.07052593,23.82645,24.91961,27.21438,25.32257,22.72841,23.92169,25.57514,20.73941,25.23795,22.73147,20.70262,23.42494,26.41097,22.57855,24.70546,25.87366,22,4,0,14,0,4,4,12,6,0,42,3,195,0,13,7,48,0,5,26,8,10,6,43,10,0,86,19,399,0,30,6,17.69609,13.63776,9.647871,14.35256,9.606746,4.197272,16.27953,9.148848,9.005351,7.721387,12.40252,19.49667,15.72142,23.91963,28.48389,15.47382,19.66041,18.6209,14.40194,20.39761,14.24485,7.71562,22.97871,10.24672,14.38508,9.676017,14.81839,23.46625,22.88895,26.59361,34.79934,21.83134
08/04/2021 14:56:00,0,0,0,0,0,0.9116642,1.062036,1.28405,1.19154,1.172079,1.203306,1.135467,0.9496672,1.190448,1.181069,0.9260465,0.9927557,1.281872,0.9038714,1.020748,1.134988,0.7137454,0.7729293,0.90091,0.9293626,1.047634,0.8586287,0.8854447,0.6698405,0.7976483,0.9023809,0.6643829,0.6770861,1.123025,0.6586799,0.7218883,0.8074332,0.08732793,0.1081747,0.1576336,0.1457611,0.1275917,0.1349717,0.1119445,0.09498312,0.1428134,0.1233474,0.1028773,0.1132203,0.178966,0.1338293,0.173588,0.1405389,0.2629363,0.3024207,0.3634107,0.343424,0.3466707,0.3415124,0.3272506,0.2690089,0.3344252,0.3391576,0.2630614,0.2796785,0.3776354,0.2574394,0.2892706,0.3219605,0.7827473,0.7275459,0.7009882,0.7801369,0.8938858,0.7110522,0.7800674,0.7052005,0.6696282,0.7648963,0.7171587,0.682571,0.8753579,0.7295241,0.7067323,0.7113808,0.2283033,0,0,0.3253518,0,0,0.4954567,0,0,0.2523834,0,0,0.4228742,0,0,0,0.0821227,0.1996764,0.08639525,0.09097298,0.1349182,0.002838135,0.04901124,0.06243901,0.0422365,0.11615,0.04077148,0.09939585,0.118927,0.0582584,0.02716061,0.07052593,23.77683,24.96485,27.21313,25.28823,22.72841,23.92169,25.54792,20.72292,25.24657,22.71239,20.65194,23.46863,26.48589,22.57855,24.72025,25.87366,30,22,2,9,7,23,0,0,4,0,0,0,10,8,4,12,32,13,17,16,18,48,0,0,10,0,0,2,16,18,10,24,18.64005,13.65645,9.647871,14.39137,9.612329,4.286826,16.27953,9.350583,9.005351,7.721387,12.47906,19.49799,17.68335,23.95246,28.54814,15.55365,20.72094,18.71756,14.44251,20.50213,14.30183,7.871453,23.00274,10.46337,14.45766,9.676017,14.91959,23.47912,25.45662,26.62834,35.02016,22.00083
