Date_Time_1,envirolightlux_2,envirotemp_2,envirorh_2,envirooccupancy_2,envirosound_2,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vo2_16,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vco2_16,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,vh2o_16,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,kcal_hr_16,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,rq_16,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,foodupa_16,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,waterupa_16,bodymass_1,bodymass_2,bodymass_3,bodymass_4,bodymass_5,bodymass_6,bodymass_7,bodymass_8,bodymass_9,bodymass_10,bodymass_11,bodymass_12,bodymass_13,bodymass_14,bodymass_15,bodymass_16,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,xbreak_16,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,ybreak_16,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,pedmeters_16,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15,allmeters_16
08/15/2021 16:36:00,0,0,0,0,0,1.447159,1.498604,1.752744,1.150234,1.758059,1.626801,1.254573,1.412605,1.494208,1.051641,1.287767,1.458001,1.077806,1.353489,1.452641,1.05656,1.219013,1.184732,1.405308,0.8948129,1.529371,1.291328,1.122645,1.094191,1.123503,0.7997751,0.9765543,1.133218,0.8674586,1.099636,1.162516,0.8598683,0.08474556,0.0790126,0.1315103,0.07093641,0.08663377,0.09229672,0.07610267,0.09373839,0.09927598,0.09657112,0.06821676,0.08088735,0.09069701,0.1402856,0.09870356,0.06971566,0.4230889,0.4329788,0.50771,0.3313641,0.5171996,0.4703659,0.3711551,0.4066351,0.4278759,0.3017442,0.3693094,0.4199593,0.3124227,0.3930177,0.4206361,0.3068951,0.8409516,0.7846882,0.7910474,0.7783628,0.871852,0.7819759,0.8942495,0.7702858,0.7473333,0.7612488,0.7578081,0.7675932,0.8077095,0.806665,0.793462,0.8081971,0,0,0.001726928,0,0,0,0,0.01270556,0,0,0,0,0.02410662,0,0,0,0.0003702546,0.01811611,0,0,0.0413232,0,0,0,0.0005561319,0,0.0240612,0.01029556,0.04595061,0.0296213,0.009523088,0.02522512,26.11104,25.06769,29.30688,26.70589,22.69973,23.88838,26.9109,21.37137,26.00891,23.47235,20.25241,24.1213,28.1859,23.11179,24.81849,26.39076,44,41,41,0,84,159,45,65,47,0,52,78,75,34,193,111,126,138,427,12,298,235,143,157,261,0,208,187,101,79,335,313,0.1550778,0.1115642,1.06903,0.01363333,1.263384,0.6314473,0.8246934,0.59514,0.9915941,0,0.67133,0.4926161,0.06877573,0.09568561,0.8088757,0.4041111,0.2728503,0.2718879,1.441069,0.02873125,1.638073,0.9760391,1.227249,0.7749849,1.26166,0,0.8718588,0.7305888,0.1934518,0.2485456,1.164069,0.7345273
08/15/2021 16:56:00,0,0,0,0,0,1.814764,1.572484,1.537316,1.750858,1.537144,1.346164,1.205432,1.428905,1.244694,1.30106,1.074654,1.457539,1.459113,1.563274,1.388933,1.17896,1.569113,1.448744,1.391425,1.395466,1.360797,1.208295,1.030346,1.287542,1.080169,1.053005,0.9958108,1.32698,1.329749,1.506966,1.301817,1.104867,0.07515357,0.08331163,0.1378206,0.08710987,0.09283219,0.09200805,0.06479432,0.1064017,0.1022298,0.1007647,0.0737204,0.08695081,0.09533727,0.141723,0.1076766,0.07996161,0.5332456,0.4679683,0.4558488,0.506611,0.4537757,0.3984964,0.3534101,0.4233201,0.3660003,0.377526,0.3201948,0.4327081,0.4332639,0.4696539,0.4148156,0.3520958,0.8650558,0.9218003,0.9054712,0.7976983,0.8845672,0.8971056,0.8552995,0.9008929,0.8679688,0.8075694,0.942305,0.9142308,0.9243231,0.9649073,0.9533821,0.9470604,0.05880151,0.05448714,0.0122986,0.0238733,0.001184158,0.02910858,0,0.07778912,0.002985836,0.01193238,0.0007736845,0.05572834,0.2962667,0.007486054,0,0,0.02313021,0.1971676,0,0.007304535,0.08576572,0,0,0.03462077,0.001342773,0,0.06637573,0.1923628,0.08609015,0.3754764,0.06948855,0.178003,26.11104,25.06769,29.30688,26.70665,22.88263,23.88838,26.9109,21.51975,26.134,23.47333,20.62188,24.19477,28.1859,23.11179,24.80796,26.40765,231,42,42,49,73,63,4,20,1,14,5,123,33,94,88,55,288,305,236,476,234,62,11,76,60,50,26,596,130,171,239,328,2.252278,1.324514,4.363751,1.579302,4.453964,2.221755,0.9381633,2.666905,2.140319,0.03876571,2.411345,3.231157,0.9404864,0.6128854,4.381644,4.318458,3.058214,2.288767,5.884638,2.054259,5.627583,3.263276,1.521,3.176621,2.981105,0.05445125,2.968759,4.671131,1.780175,1.200658,6.098274,5.76494
08/15/2021 17:16:00,0,0,0,0,0,2.040022,1.168677,1.494481,1.415491,1.369518,1.499461,1.097145,1.019022,1.596561,1.346103,0.9062696,1.406676,1.184684,1.557801,1.067113,0.9852155,1.816709,1.162772,1.382316,1.173011,1.213443,1.400411,0.9526884,0.9620341,1.438423,1.12693,0.8636677,1.287358,1.136232,1.495848,1.001786,0.9161268,0.07446544,0.0727125,0.1208472,0.07864733,0.0858482,0.08109869,0.05329071,0.09281649,0.1089458,0.1007881,0.06207184,0.08953267,0.08557086,0.1368051,0.09423634,0.06912342,0.6029405,0.353507,0.4451155,0.4125479,0.4043604,0.4474939,0.3226513,0.3047984,0.4729766,0.3930826,0.2716095,0.4180517,0.3555308,0.467622,0.3188081,0.2937582,0.8907534,0.9955554,0.9285103,0.8300273,0.8853014,0.9356077,0.8688768,0.944458,0.9016924,0.8381922,0.9558266,0.9156521,0.9607393,0.960243,0.9495192,0.9303818,0.2734322,0.08895856,0.1249647,0.07064855,0.1690506,0.1283569,0,0.0785839,0.08212377,0.1037598,0.001312256,0.1471539,0.3117988,0.2576219,0,0,0.1843442,0.2863274,0,0.04449463,0.1316989,0,0,0.05834961,0.001342773,0,0.06637573,0.2901002,0.08609015,0.6581765,0.06948855,0.1791689,26.23039,25.06769,29.30688,26.72046,22.86437,23.88838,26.9109,21.53354,26.28791,23.4425,20.64256,24.09485,28.1859,23.11179,24.99202,26.43283,555,49,50,76,32,148,20,20,31,57,11,43,9,199,42,22,526,23,147,46,106,166,2,24,321,80,1,152,80,246,39,15,9.673012,1.647097,4.757936,4.418839,6.076162,2.470866,0.9654529,3.117328,2.874927,1.081281,2.570393,4.737736,1.085292,2.417619,4.436009,4.51147,11.77997,3.067567,6.744659,5.703192,7.845467,3.975749,1.603465,3.705847,4.380057,1.388689,3.164359,7.398625,2.079973,3.753758,6.446899,6.122233
08/15/2021 17:36:00,0,0,0,0,0,1.89098,1.44416,1.293227,1.19401,1.2546,1.459389,1.058406,1.492101,1.351376,1.231542,0.9236474,0.9856308,1.503073,1.599337,1.253736,0.9099891,1.670453,1.41259,1.207969,0.9209117,1.135924,1.379316,0.9066508,1.395784,1.218407,1.074948,0.8873011,0.8930099,1.386337,1.591986,1.265383,0.8914657,0.08508587,0.07447902,0.1092082,0.07205252,0.08032765,0.08343705,0.0495863,0.09651293,0.09799836,0.09054919,0.0542031,0.07784247,0.08529941,0.1318737,0.0870692,0.06514702,0.5579924,0.4352255,0.3859573,0.3434474,0.3720427,0.4366186,0.3104359,0.4454465,0.4003998,0.362544,0.2772869,0.2923224,0.447414,0.4838235,0.3804293,0.2743337,0.8845792,0.9810567,0.9356495,0.7711738,0.9035744,0.9458529,0.8568065,0.9359565,0.9029052,0.9180573,0.9628448,0.9111039,0.9258024,1.000985,1.010365,0.9900145,0.3989466,0.2066714,0.2230537,0.07064855,0.2501783,0.295147,0,0.2160217,0.1534658,0.1037598,0.002782056,0.1481636,0.3117988,0.9599347,0.1307021,0,0.3199974,0.3087072,0,0.04449463,0.1557267,0,0,0.07408975,0.001342773,0,0.06637573,0.2901002,0.0871785,0.9521147,0.06948855,0.1791689,25.97696,25.06769,29.30688,26.73894,22.77035,23.88838,26.9109,21.47814,26.44183,23.32655,20.6263,24.04553,28.1859,22.98954,25.17609,26.45802,337,29,14,14,38,174,0,8,15,1,6,3,31,277,30,8,442,123,59,14,103,190,10,80,114,0,15,46,124,332,106,17,17.69185,2.089718,5.190522,5.223809,6.585728,3.988897,1.220172,3.563547,3.920456,1.231315,2.630695,5.453181,2.105436,5.27752,4.906128,4.540052,21.2675,3.999672,7.599124,6.845859,8.619584,6.33709,1.937929,4.427729,6.159662,1.60311,3.281347,8.484656,3.346098,7.602852,7.143182,6.321677
08/15/2021 17:56:00,0,0,0,0,0,1.789136,1.524819,1.580639,1.405391,1.299162,1.675266,1.214661,1.370401,1.512393,1.447435,1.484552,1.071352,1.555341,1.785157,1.214385,1.17051,1.613506,1.506935,1.520118,1.088711,1.19482,1.590778,1.053912,1.307304,1.37239,1.246076,1.410773,0.9683883,1.392757,1.694055,1.20411,1.0971,0.09580468,0.07947077,0.1055559,0.06764102,0.08143158,0.08806231,0.05192321,0.09914044,0.1057868,0.0970874,0.06839022,0.07756356,0.09837639,0.1480452,0.09462453,0.07110528,0.5301313,0.460559,0.474633,0.4045656,0.3864881,0.5016975,0.3571565,0.4107976,0.4486921,0.42495,0.444656,0.3175941,0.4601994,0.5345358,0.3670582,0.3495824,0.90267,0.989638,0.9604467,0.7747833,0.9200256,0.9501584,0.8680207,0.9542063,0.9063213,0.8641863,0.9500887,0.9042531,0.8955557,0.9492134,0.9932292,0.9363332,0.5526421,0.3731959,0.3250016,0.07064855,0.3419825,0.4369427,0,0.2271624,0.1536253,0.1253732,0.1754706,0.1481636,0.3257168,1.177626,0.2870384,0,0.3372565,0.3781127,0.017658,0.04449463,0.1813966,0.01894098,0,0.1760493,0.03701243,0,0.08191656,0.2901002,0.1115925,1.062296,0.06948855,0.1815688,26.32744,25.06769,29.3927,26.75743,22.76945,23.91259,26.9109,21.81037,26.59575,23.28028,20.78484,23.99902,28.18735,22.40996,25.36016,26.4832,180,57,26,0,3,203,37,36,60,34,68,3,50,360,19,44,401,167,171,4,48,210,104,126,299,112,254,21,151,388,67,331,21.84573,2.483483,5.897344,5.239748,7.446646,6.200541,1.257384,4.723076,5.532887,2.338398,3.51581,5.483851,2.921116,11.64766,5.006824,4.808546,26.61759,4.837041,8.75052,6.873914,9.881321,9.448997,2.318246,5.787641,8.202454,2.832106,4.50266,8.556755,4.408534,15.23269,7.686313,6.906125
08/15/2021 18:16:00,0,0,0,0,0,1.490714,1.566278,1.768126,1.384722,1.417337,1.647568,1.134631,1.305179,1.439913,1.383255,1.394706,1.086725,1.659285,1.770438,1.422823,1.189317,1.32092,1.527321,1.738371,1.154072,1.30678,1.574804,0.9376618,1.235887,1.30124,1.230715,1.344281,0.9467362,1.452337,1.696594,1.383472,1.129255,0.1018637,0.0859494,0.1123165,0.07340078,0.08314209,0.09083401,0.05241756,0.09598022,0.103054,0.1031861,0.07982238,0.07244276,0.09587172,0.1537018,0.1095999,0.07543322,0.4401504,0.4717151,0.5334493,0.4040156,0.4218614,0.494088,0.330518,0.3906361,0.4268321,0.4087548,0.4189986,0.3197925,0.4887317,0.5312238,0.4282478,0.3561632,0.8859519,0.9751486,0.9842763,0.8383568,0.9183173,0.9562026,0.8259974,0.9460908,0.9047075,0.8886011,0.9643923,0.8710661,0.8742175,0.958608,0.9812245,0.950113,0.5681522,0.5447254,0.3958468,0.1576823,0.3419825,0.5961024,0,0.2274472,0.1536253,0.2683575,0.4651905,0.1481636,0.3727742,1.177626,0.3854382,0,0.3400753,0.4047333,0.03858615,0.04449463,0.1813966,0.05490397,0,0.195587,0.09011123,0.04925457,0.1145022,0.2901002,0.1673491,1.08082,0.06948855,0.1910405,26.4437,25.12403,29.48421,26.77592,22.86458,23.81098,26.9109,21.72048,26.74966,23.43592,21.10007,23.95251,28.19865,22.73985,25.54422,26.50839,131,31,77,14,49,344,0,15,80,32,43,0,117,382,4,4,202,173,324,88,161,302,3,69,226,157,154,10,172,393,51,175,24.77695,2.97329,6.88403,5.504254,8.040166,9.853972,1.26416,6.114796,8.112396,3.807359,5.666728,5.543672,4.265597,16.79569,5.025919,6.120817,30.63559,6.025677,10.27647,7.411422,10.81775,13.98961,2.424798,7.381462,11.59455,4.670067,7.380665,8.677492,6.22015,21.33433,8.055563,9.000948
08/15/2021 18:36:00,0,0,0,0,0,1.416934,1.764268,1.525259,1.351078,1.447831,1.71795,1.487505,1.46679,1.288077,1.223673,0.9880385,1.599337,1.864109,1.781918,1.50098,0.9605673,1.260417,1.700393,1.472841,1.173993,1.321759,1.65088,1.317719,1.446867,1.198026,1.141468,0.9308592,1.326418,1.713262,1.723317,1.491878,0.8585935,0.1062353,0.09685565,0.1451036,0.07792881,0.08951525,0.1047194,0.07408887,0.1156159,0.1123672,0.1077255,0.08022866,0.08783607,0.1124926,0.1670334,0.1066117,0.06967711,0.4186896,0.530017,0.4584005,0.3973821,0.430066,0.5157788,0.4391793,0.4428513,0.3840795,0.3650974,0.2954034,0.4662004,0.5544793,0.5357116,0.4539227,0.284112,0.8897029,0.9640568,0.9657711,0.8703872,0.9138844,0.9608644,0.8836629,0.985726,0.9310656,0.9339847,0.9553338,0.8335704,0.9207501,0.9684038,0.9950004,0.8938077,0.5989324,0.6161734,0.3958468,0.192445,0.3419825,0.7859809,0.113384,0.2274472,0.1536253,0.3680105,0.5516323,0.1481636,0.5673291,1.177626,0.4916152,0,0.3404203,0.4756082,0.1168479,0.04449463,0.1815335,0.1139223,0,0.2013458,0.1140936,0.1389161,0.1145022,0.2903099,0.3030534,1.204445,0.06948855,0.1910405,26.45995,25.78583,29.03201,26.79441,23.14039,24.1685,26.9109,22.20407,26.90358,23.60422,21.18791,23.90956,28.10119,23.54293,25.72829,26.53358,33,131,39,0,55,166,67,30,22,12,0,82,149,332,86,0,53,351,285,4,125,208,188,128,95,39,0,321,216,443,234,43,25.0122,6.227642,10.78369,5.623688,8.92724,14.94372,1.756701,7.110195,9.107131,4.749276,6.467005,5.979519,8.932299,22.53858,5.384417,6.324091,31.08027,10.05475,15.33893,7.633215,12.1248,19.85367,3.248536,8.51718,13.05477,5.923339,8.348232,9.616764,11.99139,28.21247,8.866904,9.464702
08/15/2021 18:56:00,0,0,0,0,0,1.695543,1.557506,1.794976,1.481626,1.529133,1.604754,1.339896,1.788636,1.436362,1.283495,0.9914432,1.518458,1.83493,1.677673,1.699256,1.14291,1.539714,1.520965,1.679592,1.315133,1.407074,1.545353,1.182352,1.677273,1.366443,1.193309,0.9797463,1.240407,1.704863,1.674018,1.688484,1.036401,0.1255087,0.1227359,0.1785334,0.1030015,0.1301853,0.1375676,0.1047394,0.1394435,0.1212833,0.1162851,0.08578527,0.1078101,0.1353162,0.1741459,0.1357188,0.08342332,0.5031035,0.4692192,0.5358977,0.4376174,0.4549523,0.4820098,0.3952926,0.5342446,0.4303194,0.3826833,0.2994526,0.4413679,0.5470222,0.5077904,0.5138538,0.3390281,0.9072659,0.9765277,0.9356355,0.886431,0.9193673,0.9638094,0.8820663,0.940722,0.9829071,0.9329768,0.9925465,0.8154902,0.9282922,0.9986089,0.996766,0.9079636,0.6778286,0.665242,0.3958468,0.192445,0.3419825,0.9390987,0.1493532,0.227453,0.1536253,0.4238814,0.5516323,0.1481636,0.6853627,1.177626,0.6119452,0,0.3404203,0.5163749,0.1177571,0.04449463,0.1825258,0.1327653,0,0.2962695,0.1569169,0.2069276,0.1145022,0.2994546,0.3946695,1.309085,0.06948855,0.2014256,26.47619,26.14637,28.69893,26.8129,22.13752,24.47794,26.9109,22.3135,27.0565,23.72751,21.17591,23.82404,28.12319,23.6063,25.90387,26.54286,114,45,77,8,77,171,25,170,108,12,0,64,128,198,142,98,244,182,523,201,187,212,71,332,297,51,0,268,304,237,308,458,25.94069,7.903835,12.81466,6.429235,10.4331,17.80442,2.069184,10.99983,10.10466,5.159267,6.467005,9.115301,11.72249,27.06844,8.149992,7.783643,32.48431,12.36383,18.4801,8.649942,14.3315,23.28648,4.166625,13.15124,14.42808,6.488296,8.348232,13.65297,15.70041,33.66173,12.45749,11.49902
08/15/2021 19:16:00,0,0,0,0,0,1.434263,1.802466,1.412259,1.730056,1.286896,1.625843,1.255017,1.522086,1.418986,1.440556,1.190947,1.007703,1.713366,1.64138,1.720255,1.483774,1.282287,1.733887,1.245149,1.423266,1.186572,1.561319,1.100214,1.457755,1.328318,1.353375,1.201681,0.8104892,1.510008,1.578048,1.663403,0.8388277,0.1331837,0.1401695,0.2177976,0.128287,0.1432403,0.1442631,0.1016335,0.1512317,0.1436414,0.131181,0.09651702,0.1097309,0.1462029,0.1993871,0.1540827,0.1085139,0.4242385,0.5412719,0.4165707,0.5035369,0.3830402,0.488056,0.3697714,0.4566489,0.4236807,0.430444,0.3613548,0.2920656,0.5053467,0.49284,0.5171549,0.4065178,0.8927552,0.9621222,0.8819754,0.8250896,0.9197357,0.9611799,0.8752475,0.9609542,0.9403025,0.9401311,1.015697,0.8071833,0.8828594,0.9630289,0.9681282,0.666094,0.716157,0.8171479,0.3958468,0.2059486,0.3419825,1.07241,0.1624454,0.2964494,0.1536253,0.4501458,0.6122284,0.1481636,0.7756392,1.177626,0.7442356,0,0.3404203,0.6524232,0.1190032,0.05343034,0.1825258,0.2061468,3.962198e-05,0.4313509,0.2123109,0.2946,0.1145022,0.3078933,0.4706171,1.367779,0.06948855,0.2506019,26.49244,26.27798,28.6757,26.83139,22.57093,24.65801,26.91135,22.4343,27.059,23.80937,21.07181,23.77984,28.05251,24.11483,26.02551,26.27431,4,103,11,24,9,193,36,120,9,30,29,0,74,239,313,227,50,278,147,249,75,177,106,272,80,95,69,36,289,268,431,767,27.64557,11.0768,15.22495,8.254235,10.9437,23.00382,2.100082,15.59076,12.52353,5.678917,6.67959,9.679554,14.74208,32.2062,13.52028,15.05011,34.68362,16.24779,21.8641,10.95438,15.22868,29.11753,4.414061,18.70404,17.6051,7.181787,8.6281,14.7198,19.72047,39.60503,18.9193,20.04587
08/15/2021 19:36:00,0,0,0,0,0,2.066708,1.641151,1.889824,1.663864,1.714304,1.506112,1.423357,1.525992,1.19168,1.153059,1.454513,1.155913,1.399497,1.663194,1.765605,1.291707,1.870469,1.612412,1.624713,1.433259,1.605048,1.474618,1.251316,1.462452,1.127354,1.083551,1.449973,0.897135,1.263474,1.604879,1.709469,1.087966,0.1247235,0.1336277,0.2085975,0.1189085,0.1358588,0.1242111,0.08865278,0.1412618,0.1191984,0.1123324,0.09728307,0.09278352,0.1421123,0.1913241,0.1520126,0.1022796,0.6128181,0.4950661,0.5546838,0.4885483,0.5118754,0.453991,0.4196044,0.4578843,0.3565959,0.3445569,0.4401543,0.3328611,0.4147692,0.4997787,0.5309354,0.3776344,0.9053083,0.984471,0.8591231,0.8607143,0.9358542,0.9791582,0.8795674,0.9589827,0.9513718,0.9418292,0.9984293,0.777871,0.903594,0.9647689,0.971373,0.8453521,0.7560998,0.9220442,0.3958468,0.2893023,0.3419825,1.087263,0.2256183,0.3841858,0.1536253,0.483249,0.7408847,0.1481636,0.8229955,1.177626,0.7898482,0,0.3451082,0.7304198,0.1418997,0.1324821,0.278055,0.2082912,0.00125122,0.540416,0.2123109,0.361151,0.1212765,0.3078933,0.5023994,1.371981,0.07328925,0.2734179,26.49321,26.33921,28.79064,26.84784,23.05602,24.80829,26.97878,22.52883,26.95368,23.86829,21.04012,23.70325,27.97495,23.97077,25.93463,26.18703,288,41,91,50,120,90,35,50,31,8,122,0,137,294,208,264,398,211,434,313,253,89,86,153,132,57,275,31,117,361,474,772,30.26338,13.35498,17.23177,10.98854,12.07608,25.14717,2.467546,18.1932,13.31645,6.235295,9.787535,9.689391,15.78129,35.01922,20.87751,23.19449,37.91012,19.17144,24.89163,14.26192,16.83747,31.5837,5.382267,21.81288,18.62517,7.954899,12.33051,14.80298,21.64137,43.34895,27.64396,29.71433
