Date_Time_1,envirolightlux_2,envirotemp_2,envirorh_2,envirooccupancy_2,envirosound_2,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vo2_16,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vco2_16,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,vh2o_16,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,kcal_hr_16,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,rq_16,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,foodupa_16,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,waterupa_16,bodymass_1,bodymass_2,bodymass_3,bodymass_4,bodymass_5,bodymass_6,bodymass_7,bodymass_8,bodymass_9,bodymass_10,bodymass_11,bodymass_12,bodymass_13,bodymass_14,bodymass_15,bodymass_16,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,xbreak_16,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,ybreak_16,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,pedmeters_16,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15,allmeters_16
09/02/2021 08:05:00,0,0,0,0,0,1.999517,1.29219,2.113783,2.443025,0.7579662,2.010763,1.901844,2.205799,1.747732,2.324305,2.037872,2.171651,1.955006,1.872242,1.632934,1.904229,1.804627,1.248337,2.01326,2.492234,0.8064923,2.08207,1.894967,2.046275,1.605972,2.256206,1.917025,2.211172,1.731544,1.636839,1.485746,1.609397,0.06522877,0.08886471,0.1103412,0.08942322,0.01061744,0.04696412,0.07609946,0.1043238,0.03335956,0.07621885,0.05576427,0.05945232,0.04660316,0.07378261,0.08466879,0.08853128,0.5925609,0.388391,0.633425,0.7430623,0.2327475,0.6136311,0.57546,0.657374,0.5198411,0.6993269,0.6090891,0.6602418,0.5771859,0.5513311,0.4847176,0.5570737,0.9047682,0.9512576,0.9490609,1.00944,1.06138,1.031073,0.9910259,0.9205656,0.9135489,0.9608101,0.9359208,1.007051,0.88266,0.8714096,0.8996752,0.8403534,0,0,0,0.06732871,0,0,0.1437496,0,0.0001736069,3.416195e-05,0,0,0.5052539,0,0,0,0,0,0.06110547,0.01522541,0,0.001137791,0.01305571,0.09159426,0,0.04088655,0,0.01550392,0.004806518,0.0001281738,0,0.01431086,29.56203,26.00601,30.0743,30.37425,24.13916,24.83283,27.80923,23.04505,27.26526,24.75576,21.04815,25.98393,29.26999,26.34737,25.98785,27.14416,389,12,42,252,20,512,265,261,172,289,408,140,514,283,101,288,467,2,556,647,364,603,634,558,409,518,453,482,619,564,297,513,3.05757,0.2954333,1.448239,3.14242,1.705715,4.552158,3.489438,5.084959,1.237175,4.048039,5.531535,4.473822,4.162302,3.136173,2.067847,2.693442,3.884347,0.3296125,2.170011,4.057441,2.113462,5.210474,4.404033,5.714773,1.596194,4.82463,6.235755,5.094114,4.905442,3.862045,2.747898,3.493038
09/02/2021 08:25:00,0,0,0,0,0,1.189589,1.202399,1.544264,1.595444,0.6700462,1.108763,1.307106,1.365651,1.283911,1.639212,0.7721567,1.51922,1.484708,1.353432,1.047835,1.31017,0.9899766,0.9815419,1.450471,1.512354,0.6957942,1.088961,1.165419,1.17863,1.148447,1.487977,0.6928313,1.422367,1.260495,1.060675,0.83654,1.153633,0.1744929,0.2246405,0.2492468,0.2437961,0.1414778,0.1760729,0.1859698,0.2349603,0.1269632,0.2250306,0.1877098,0.1996067,0.1996978,0.2264017,0.2119428,0.2159001,0.3469851,0.3494543,0.4614099,0.4776186,0.204612,0.3344416,0.3864154,0.4011358,0.3798047,0.4863502,0.2285605,0.453623,0.4347205,0.3904189,0.3032839,0.3863578,0.8316432,0.8133905,0.9392859,0.9492276,1.040977,0.9813036,0.8900552,0.8634468,0.8934431,0.9085994,0.9002789,0.9357539,0.8514759,0.785474,0.8011417,0.8807003,0,0,0,0.1030152,0,0,0.2403566,0,0.001251221,0.1132428,0,0,0.7602569,0,0,0.01090508,0,0,0.0650635,0.1160468,0,0.004867554,0.04239239,0.4183396,0,0.1393676,0,0.07798208,0.02197265,0.004806519,0,0.09161377,29.56203,26.00601,30.10451,30.73398,24.29759,24.84735,27.91026,22.85547,27.37987,24.8658,21.08564,25.98068,29.35335,26.23841,25.98785,27.36296,38,0,8,330,0,110,271,287,138,229,0,149,391,219,0,216,22,3,284,710,117,165,607,614,248,442,0,408,497,412,20,482,4.537326,0.5329646,3.671597,7.579058,4.538716,8.37652,7.763215,11.51038,3.719031,8.508129,8.067546,8.872206,9.153851,7.467226,2.478719,8.143044,6.395051,0.5893021,5.783811,10.41957,5.745898,10.48792,10.75824,13.43154,5.494591,10.81357,9.358401,10.58345,11.7893,9.987433,3.473575,10.64958
09/02/2021 08:45:00,0,0,0,0,0,1.452951,1.432988,1.140069,1.909444,0.7645305,1.131286,1.006994,1.152776,0.9976805,1.481677,0.738894,1.470703,1.193298,1.233816,1.113685,1.01445,1.156549,1.134737,1.097717,1.728601,0.7627382,1.043682,0.8412036,0.940207,0.8631068,1.346666,0.6206222,1.329834,0.948764,0.9131734,0.8572463,0.8781368,0.1826042,0.2069243,0.2290562,0.2347928,0.1264211,0.15377,0.1495691,0.2094254,0.1212122,0.2100802,0.1679421,0.1877138,0.1889368,0.22182,0.1911099,0.1871247,0.4203133,0.4141456,0.3424252,0.5662171,0.2313962,0.3367626,0.2939362,0.3349776,0.2931873,0.4397221,0.2159034,0.4360103,0.3451273,0.3523462,0.3202289,0.29815,0.796902,0.7896755,0.9638606,0.9067744,0.9962182,0.9226544,0.8328792,0.8153653,0.8655902,0.9087875,0.8429596,0.9036624,0.7960902,0.739255,0.7699613,0.8664979,0,0,0,0.1047668,0,0,0.2403566,0,0.001251221,0.1982426,0,0,0.7602569,0,0,0.01190186,0,0,0.0650635,0.1721041,0,0.004867554,0.04998779,0.4934378,0,0.1844619,0,0.0963054,0.02197265,0.009563446,0,0.09161377,29.56203,26.00601,29.96222,30.67751,24.23356,24.85426,28.01134,22.19493,27.43836,25.11032,21.11401,26.19166,29.32641,26.1571,25.98785,27.33141,11,20,0,272,0,22,73,68,4,102,0,401,42,21,2,10,1,189,16,810,2,28,144,94,10,464,0,710,53,56,10,27,4.543701,0.7786542,3.918684,11.28219,4.63356,8.571243,9.257753,15.82405,3.858626,11.24958,8.067546,14.16032,10.19545,8.186949,2.478719,9.325325,6.473023,0.9176318,6.277568,16.93055,5.877746,10.95663,13.48634,18.7701,5.962291,14.84163,9.358401,17.62034,13.78363,11.27297,3.553482,12.31223
09/02/2021 09:05:00,0,0,0,0,0,1.380101,1.043379,1.203711,1.577823,0.8404827,0.9387432,1.056578,1.042252,1.12452,1.371736,1.401362,1.128091,1.091198,1.226792,1.07517,1.108191,1.052085,0.8031865,1.07792,1.398476,0.8151109,0.8362557,0.8363283,0.7940007,0.9201794,1.177015,1.025108,0.9938614,0.8146845,0.8711482,0.8044831,0.9099558,0.1559597,0.1973204,0.2101585,0.2181581,0.1242967,0.1403692,0.1290138,0.1808787,0.1150217,0.1800288,0.1652357,0.169157,0.1598675,0.2011725,0.1690619,0.1626651,0.3961551,0.3000168,0.3561602,0.4658948,0.2528313,0.2774692,0.3053373,0.2991408,0.3269672,0.4024675,0.3993922,0.332701,0.3120872,0.3478967,0.3076201,0.3224276,0.7593461,0.7665777,0.8958015,0.8868291,0.9707827,0.8909159,0.7919625,0.7624934,0.8179104,0.8645259,0.7448873,0.8795545,0.7464246,0.7122164,0.7485868,0.8212717,0,0,0,0.1047668,0,0,0.2403566,0,0.001251221,0.1982426,0,0,0.7602569,0,0,0.01190186,0,0,0.0650635,0.1721041,0,0.004867554,0.04998779,0.4934378,0,0.2124173,0.003080637,0.09907538,0.02197265,0.01808167,0,0.09161377,29.56203,26.00601,29.78757,30.57941,24.16952,24.86117,28.11242,21.95554,27.39986,25.14051,21.00303,26.13804,29.29947,26.07579,25.98785,27.3018,9,0,0,253,0,28,9,0,0,10,206,92,5,0,0,5,12,117,16,518,13,8,5,0,5,50,313,174,13,1,1,15,4.543701,2.093117,3.936769,15.00944,4.63356,8.643784,9.388475,15.93762,3.858626,12.92038,9.99848,18.28757,10.19545,8.563485,2.478719,9.367964,6.555242,2.997407,6.3799,22.74933,5.9022,11.20362,13.77015,18.92336,6.007176,17.34632,11.73451,23.26345,13.89595,11.75648,3.600159,12.46353
09/02/2021 09:25:00,0,0,0,0,0,1.144362,1.157342,1.098767,1.346648,0.7920361,1.275258,1.083117,1.026044,1.030145,1.265033,0.8965152,1.144396,1.203277,1.059408,1.583182,1.151101,0.8659686,0.8827255,0.9742033,1.177667,0.7335586,1.086154,0.8763663,0.7855205,0.8536534,1.09104,0.7211038,0.9347882,0.910885,0.7737446,1.2468,0.9842609,0.1526847,0.1858022,0.199076,0.2125969,0.1144225,0.1509971,0.1364542,0.1733205,0.1166172,0.1845799,0.1612338,0.1666544,0.1541191,0.1939645,0.1713115,0.1605243,0.3280616,0.3322427,0.3244627,0.3965784,0.2359638,0.3736247,0.3142695,0.2947455,0.3002365,0.3715311,0.2598424,0.3326365,0.3449733,0.3018533,0.4570968,0.3375049,0.7577152,0.7635444,0.8868673,0.8736856,0.9335636,0.8509123,0.8097816,0.7684156,0.8290435,0.8648543,0.8169302,0.8153487,0.7563617,0.7299392,0.7876954,0.8558466,0,0,0,0.1047668,0,0,0.2403566,0,0.001251221,0.2366994,0,0,0.7602569,0,0,0.01190186,0,0,0.0650635,0.1721041,0,0.004867554,0.04998779,0.4934378,0,0.2124173,0.007415776,0.09907538,0.02197265,0.01808167,4.395984e-06,0.09161377,29.56203,26.00601,29.61292,30.54005,24.10451,24.86808,28.21351,21.95441,27.36137,25.13944,20.90314,26.08614,29.27253,25.99449,25.9859,27.27219,13,0,0,83,0,246,46,6,4,24,26,20,11,0,118,34,22,7,8,82,161,224,67,18,14,81,45,106,16,9,251,30,4.543701,2.097012,3.946874,16.23496,4.851462,9.586566,9.615899,16.13396,3.864876,13.19849,12.25566,18.63594,10.19545,8.563485,3.210962,9.445709,6.657,3.083621,6.443589,25.10092,6.321813,12.54296,14.15347,19.13338,6.051647,17.79993,14.35336,23.89786,13.96898,11.77889,4.752968,12.73143
09/02/2021 09:45:00,0,0,0,0,0,1.182497,1.060537,1.144988,1.33204,0.7007888,0.8625455,1.036708,1.002191,1.071814,1.110861,0.8475742,0.9904355,1.244733,1.187556,1.292488,1.095273,0.8526644,0.7878212,0.977134,1.090904,0.6212561,0.7120374,0.7847829,0.7420641,0.8657179,0.9764338,0.6351472,0.7421653,0.9081802,0.891808,0.9845085,0.9030924,0.1609105,0.1861984,0.1961759,0.2025907,0.1195478,0.1601113,0.1449394,0.1757186,0.1175508,0.1851114,0.1638017,0.1675507,0.1532553,0.1857402,0.1847101,0.1637954,0.336196,0.3030545,0.3355865,0.3873665,0.2069351,0.2512083,0.2972183,0.2862214,0.3108903,0.3274704,0.2425658,0.2834485,0.3545964,0.3399899,0.3709538,0.3189176,0.7219744,0.7433887,0.8540767,0.8202752,0.9027033,0.8255922,0.7575362,0.7419437,0.8080611,0.8809819,0.7488989,0.7494997,0.7299603,0.7491352,0.7655165,0.8266073,0,0,0,0.1047668,0,0,0.2403566,0,0.001251221,0.2726752,0,0,0.7602569,0,0,0.01190186,0,0,0.0650635,0.1721041,0,0.004867554,0.04998779,0.4934378,0,0.2124173,0.007415776,0.09907538,0.02197265,0.01808167,0.001342294,0.09161377,29.56203,26.00601,29.43827,30.49697,24.02891,24.87499,28.31459,22.37276,27.32287,25.13836,20.57704,26.03423,29.24559,25.91318,25.96271,27.24258,11,0,2,6,0,7,6,0,10,2,0,0,3,2,110,11,7,11,116,2,53,0,6,0,27,17,0,0,16,64,326,35,4.543701,2.097012,4.028283,16.43547,5.195506,10.88241,9.907059,16.2658,4.104848,13.46229,12.86226,18.98058,10.19545,8.563485,6.158237,9.480302,6.749613,3.118008,6.578894,25.42904,7.036407,14.45516,14.61312,19.27444,6.339776,18.23228,14.99405,24.39753,14.02551,11.83819,8.901457,12.89269
09/02/2021 10:05:00,0,0,0,0,0,1.253246,1.034596,1.396885,1.367411,0.5719817,1.118623,0.9939752,1.165434,1.087865,1.098719,0.9740041,1.002343,1.495586,1.44534,1.036512,1.064526,0.8837982,0.7747826,1.189699,1.108401,0.4911866,0.8931433,0.768519,0.8701945,0.8851455,0.9505777,0.7320097,0.795857,1.178422,1.129794,0.7840795,0.870753,0.1545465,0.1697808,0.1840486,0.1837321,0.1027386,0.141651,0.1231975,0.1598681,0.10888,0.1647896,0.1460099,0.1500734,0.1509444,0.193606,0.1706021,0.1486838,0.3549914,0.2960553,0.4092559,0.3968915,0.1678459,0.3237786,0.2860343,0.3333248,0.3159747,0.3228834,0.2788892,0.289827,0.4318462,0.4167382,0.2971251,0.3095011,0.7051291,0.7505837,0.8503315,0.8119895,0.8648469,0.7992688,0.7724843,0.7488796,0.8144256,0.8708782,0.7527097,0.7937526,0.7867193,0.7786585,0.7603205,0.8198767,0,0,0,0.1047668,0,0,0.2403566,0,0.001251221,0.2726752,0,0,0.7776117,0,0,0.01190186,0,0,0.0650635,0.1721041,0,0.004867554,0.04998779,0.4934378,0,0.2124173,0.007415776,0.09907538,0.02197265,0.01808167,0.001342773,0.09161377,29.56203,26.00601,29.26363,30.4539,23.95042,24.8819,28.41567,22.67251,27.28437,25.13729,20.19071,25.98232,29.21865,25.83187,25.93371,27.21297,14,0,0,16,0,14,60,6,8,3,13,1,112,33,0,5,9,11,84,8,17,4,72,36,9,7,26,6,195,112,4,9,4.543701,2.101635,4.667051,16.43547,5.27856,10.88624,9.913694,16.53283,4.321602,13.46229,12.86926,18.98058,10.32528,8.971036,6.633279,9.48339,6.79238,3.148627,7.69113,25.50546,7.277963,14.50677,14.70964,19.61962,6.62258,18.26557,15.00169,24.42283,14.63624,12.66258,9.646425,12.97304
09/02/2021 10:25:00,0,0,0,0,0,1.22249,1.036919,1.159924,1.405704,0.656472,0.9404129,1.615838,0.9690918,1.039208,1.106831,0.9492481,1.5069,1.254602,1.021768,1.135374,1.226239,0.8444562,0.7564512,0.929506,1.150507,0.5644408,0.7782814,1.363297,0.7466478,0.819114,0.88542,0.7299536,1.203067,1.019446,0.7243049,0.8210846,0.9863785,0.1428504,0.1534232,0.1661587,0.170498,0.09184688,0.1306631,0.1221487,0.1465779,0.1024907,0.1492478,0.1379739,0.1485612,0.1445777,0.170698,0.1563797,0.1397895,0.345108,0.2953879,0.3359576,0.4087403,0.1926857,0.2740168,0.4725495,0.278699,0.3000876,0.3204778,0.2728989,0.4361572,0.3643136,0.289672,0.3229578,0.3554126,0.6909511,0.7299318,0.8013082,0.8172058,0.8637175,0.8279099,0.8458764,0.7715521,0.7868262,0.800371,0.7621332,0.8034387,0.8135033,0.7088758,0.7238625,0.8033958,0,0,0,0.1047668,0,0,0.3783444,0,0.001251221,0.2726752,0,0,0.7825901,0,0,0.01190186,0,0,0.0650635,0.1721041,0,0.004867554,0.04998779,0.4934378,0,0.2124173,0.007415776,0.1017874,0.02197265,0.01808167,0.001342773,0.09161377,29.56203,26.00601,29.08898,30.40759,23.87193,24.88881,28.49353,22.61577,27.24587,25.13621,20.82504,25.92682,29.19171,25.75056,25.90471,27.18336,8,0,0,129,0,4,233,2,5,0,46,78,3,0,2,106,12,8,24,113,2,5,514,0,6,9,67,223,5,0,12,127,4.547342,2.119512,4.679093,16.47714,5.27856,10.8939,10.91656,16.64113,4.321602,13.46229,14.11327,19.25992,10.43162,9.234503,6.641256,10.32895,6.894781,3.204192,7.842854,25.96388,7.291773,14.56283,16.79499,19.75998,6.650259,18.3004,16.42594,25.01138,15.16632,13.05633,9.684925,14.13659
09/02/2021 10:45:00,0,0,0,0,0,1.089286,1.077012,1.18519,1.348217,0.635218,0.9822963,1.126735,1.038234,0.863107,1.374475,0.9127102,1.514336,1.194006,1.078792,1.087315,1.085181,0.7769594,0.7928901,0.9264183,1.049718,0.5712675,0.7873204,0.987803,0.7843099,0.7197614,1.148287,0.6899918,1.199164,0.974466,0.797947,0.7988989,0.8260792,0.1401132,0.1516107,0.155012,0.1639134,0.09362428,0.1252803,0.1290902,0.1449415,0.0885681,0.1527833,0.1350943,0.1648102,0.1513068,0.1636826,0.1481188,0.1379942,0.3091315,0.3072864,0.341727,0.3884587,0.188113,0.2845204,0.3319784,0.2975475,0.2518536,0.4012086,0.2616073,0.4376565,0.3470003,0.308043,0.3101215,0.3114204,0.7137564,0.7372149,0.7810286,0.7784591,0.9006659,0.8003271,0.8765486,0.7567351,0.901646,0.8327577,0.7570475,0.7921617,0.8154724,0.7426968,0.7347742,0.7610699,0,0,0,0.1047668,0,0,0.4768532,0,0.001251221,0.3375104,0,0,0.7825901,0,0,0.01190186,0,0,0.0650635,0.1721041,0,0.004867554,0.04998779,0.4934378,0,0.2124173,0.007415776,0.1103365,0.02197265,0.01808167,0.001342773,0.09161377,29.56203,26.00601,28.91433,30.32604,23.80029,24.89571,28.46135,22.5497,27.20738,25.13513,20.85144,25.76568,29.16476,25.66925,25.87571,27.15375,12,0,0,27,0,31,89,0,14,12,0,213,17,2,0,13,0,16,18,7,50,15,244,0,18,116,0,463,18,5,3,24,4.553701,2.119512,4.683593,16.5442,5.420293,10.90241,14.21906,16.64113,4.321602,13.65821,14.19024,23.28941,10.64186,9.234503,6.650779,11.32728,6.96325,3.271571,7.894428,26.5372,7.496269,14.72565,21.68744,19.76406,6.674066,18.6776,16.50869,30.39235,15.43638,13.06511,9.72317,15.44613
09/02/2021 11:05:00,0,0,0,0,0,1.13809,1.012902,1.205253,1.381235,0.608013,0.9723617,1.012677,1.062518,1.165933,1.235246,0.9327058,1.069224,1.190932,1.088177,1.072156,1.004721,0.7984954,0.7400551,0.9574809,1.064997,0.5173367,0.7780904,0.8990515,0.7950919,0.9536374,1.101694,0.6916323,0.8253873,0.9053559,0.7930594,0.796856,0.7599142,0.1305753,0.1403952,0.1470312,0.1492093,0.0817034,0.1185987,0.1154908,0.1366863,0.09419879,0.1398183,0.1232273,0.1484333,0.1437528,0.1496497,0.1356468,0.1308065,0.322101,0.2886208,0.3485324,0.3972802,0.1781012,0.2815588,0.2991186,0.3040052,0.3389798,0.3651946,0.2664443,0.3076013,0.3416873,0.3099377,0.3064013,0.2880042,0.7016991,0.7306376,0.7948554,0.7707974,0.8495305,0.799422,0.8881773,0.748383,0.8638496,0.8903975,0.7425034,0.7698513,0.7599493,0.7288894,0.7429339,0.756239,0,0,0,0.1047668,0,0,0.4835183,0,0.001251221,0.3866827,0,0,0.7825901,0,0,0.01190186,0,0,0.0650635,0.1721041,0,0.004867554,0.04998779,0.4934378,0,0.2124173,0.007415776,0.1103365,0.02197265,0.01808167,0.001342773,0.09161377,29.56203,26.00601,28.73968,30.23485,23.80317,24.90262,28.41762,22.48364,27.16888,25.13405,20.8398,25.72614,29.13782,25.58794,25.84671,27.12414,25,0,0,63,0,16,4,0,31,8,0,2,2,0,0,18,20,8,51,80,13,12,6,0,96,46,0,52,5,11,13,130,4.553701,2.119512,4.709443,16.62267,5.63856,10.90241,14.38486,16.64113,4.720058,13.82297,14.19024,24.40039,10.64232,9.234503,6.669154,11.36025,7.021492,3.337735,7.980428,26.89018,7.797642,14.83464,22.13882,19.76406,7.40435,18.9861,16.50869,32.14432,15.52665,13.10333,9.776487,15.73094
