Date_Time_1,envirolightlux_2,envirotemp_2,envirorh_2,envirooccupancy_2,envirosound_2,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vo2_16,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vco2_16,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,vh2o_16,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,kcal_hr_16,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,rq_16,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,foodupa_16,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,waterupa_16,bodymass_1,bodymass_2,bodymass_3,bodymass_4,bodymass_5,bodymass_6,bodymass_7,bodymass_8,bodymass_9,bodymass_10,bodymass_11,bodymass_12,bodymass_13,bodymass_14,bodymass_15,bodymass_16,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,xbreak_16,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,ybreak_16,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,pedmeters_16,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15,allmeters_16
07/28/2021 16:45:00,0,0,0,0,0,1.421349,1.480283,2.206197,1.504177,1.383748,1.569619,1.47092,1.583032,1.538767,1.379476,1.326115,1.253814,1.578328,1.538873,1.569907,1.776147,1.081115,1.104958,1.674809,1.271068,1.060739,1.313877,1.2399,1.240911,1.255835,1.13231,1.054832,1.057244,1.219928,1.203115,1.31055,1.42908,0.136122,0.2183817,0.3359306,0.2330753,0.2004329,0.1412336,0.1087797,0.1088201,0.1605149,0.1624761,0.1476028,0.1281422,0.1473853,0.1269016,0.1785331,0.1373875,0.407835,0.4233528,0.6328176,0.4400258,0.3975917,0.4583409,0.4300935,0.4566708,0.4471941,0.401331,0.3835719,0.3666356,0.4541658,0.4437206,0.4581882,0.5148216,0.7586786,0.742711,0.7601112,0.8447368,0.7622393,0.837866,0.8455778,0.7838071,0.8166795,0.8185245,0.7940857,0.8434578,0.772627,0.7821034,0.8359221,0.8063984,0,0.00148735,0.04882817,0.0032912,0,0.4048122,0.0633926,0.08919014,0.01722128,0.08799856,0.001753756,0.05744377,0.0326581,0.00987771,0.03998302,0,0,0,0.04649951,0.04292413,0,0.01186044,0.005168915,0,0,0,0.0025383,0.001420135,0.0775714,0,0,0.0079406,24.46564,23.10728,25.99806,25.13441,21.81471,25.02226,23.96111,21.57013,25.36,22.61497,21.34998,24.69681,25.82226,24.29896,25.84976,25.22087,79,26,290,206,35,302,114,461,547,64,150,191,11,231,351,223,122,124,850,523,10,787,337,726,542,147,210,597,429,250,937,686,0.2591271,0.588025,5.331027,3.028645,0.04156426,4.344839,1.586996,3.659191,3.296756,1.140263,3.17111,11.1166,2.752747,3.514845,7.623717,3.653202,0.8201634,0.9963716,6.307308,4.107046,0.1271055,5.337572,2.371926,4.481019,4.337746,1.404414,3.553978,11.91558,3.425906,4.123155,8.667903,4.39023
07/28/2021 17:05:00,0,0,0,0,0,1.58763,1.730032,1.856729,1.24869,1.455715,1.512167,1.315354,1.410231,1.192776,1.247769,1.064841,1.129534,1.477456,1.256186,1.489752,1.43058,1.262647,1.336735,1.557643,0.9576091,1.08958,1.361714,1.076608,1.190157,0.9157303,1.067307,0.7909763,0.9174573,1.22404,0.9334217,1.259437,1.163469,0.121989,0.2088784,0.2956694,0.2050261,0.1835098,0.1389713,0.1187612,0.1225147,0.1443886,0.1456425,0.1298494,0.1262574,0.1696721,0.126991,0.2116243,0.1721032,0.4592002,0.497789,0.5424072,0.3588122,0.4165229,0.4479302,0.3824724,0.4124422,0.3428116,0.365874,0.3042816,0.3279722,0.4305866,0.3589796,0.4358431,0.4154828,0.7942251,0.7695625,0.8389816,0.7684068,0.7450459,0.9006472,0.8174571,0.8439834,0.7632236,0.8555658,0.7436047,0.8099107,0.8284814,0.7437205,0.8455732,0.8139178,0.06308962,0.05037382,0.2397618,0.003967293,0.04185524,0.902284,0.07244869,0.1356505,0.0213929,0.203217,0.001861572,0.09265122,0.1681856,0.01211545,0.1355491,0.01927812,0,0,0.09198606,0.04742432,0,0.01281738,0.006225586,0,0,0,0.002746582,0.002502441,0.08363826,0,0.02847936,0.01489258,24.46564,23.10728,26.00336,24.66725,21.92099,25.02226,23.95801,21.19484,25.36,22.61497,21.39852,24.47255,25.78839,24.15798,25.97023,25.00833,211,97,183,2,29,215,0,228,70,5,0,0,0,0,377,195,272,495,749,18,80,483,0,353,44,19,0,0,323,0,874,663,0.8428879,2.172922,12.82813,4.114901,0.1728586,9.709894,2.171643,10.10218,4.973215,1.681407,3.964683,15.19992,5.554143,4.359523,15.98342,9.704439,1.801139,3.14636,15.5948,5.922029,0.3130467,12.37235,3.219805,12.19192,7.153311,2.106566,4.424401,16.35851,7.169481,5.093003,18.83185,11.94046
07/28/2021 17:25:00,0,0,0,0,0,1.824514,1.503004,1.637191,1.424713,1.584564,1.453979,1.150261,1.368313,1.198198,1.280625,1.194971,1.24096,1.202072,1.550766,1.364122,1.332675,1.544704,1.233616,1.426847,1.078982,1.299655,1.262372,0.9231562,1.084989,0.8676347,1.153348,0.8992391,0.9946399,1.001537,1.195115,1.189653,1.116306,0.1302122,0.2196851,0.3079042,0.1889545,0.1738388,0.1308787,0.09328853,0.1314059,0.1262123,0.1260159,0.114985,0.1108359,0.1514251,0.117465,0.2124782,0.1696109,0.5339311,0.4372631,0.4818158,0.408489,0.460931,0.4275788,0.3332513,0.3955512,0.3409021,0.3793528,0.3422365,0.3594417,0.3507038,0.4460019,0.4015056,0.3892025,0.846134,0.8199194,0.8703395,0.7558662,0.8237115,0.8677485,0.8024682,0.7919779,0.7238303,0.9012275,0.7511556,0.7975411,0.8330715,0.7696597,0.8721034,0.8375179,0.1678438,0.1124252,0.3587169,0.02171865,0.6230304,0.902284,0.07244869,0.1356505,0.0213929,0.2626051,0.001861572,0.09265122,0.1969283,0.06924853,0.1606438,0.08172613,0,0,0.1148378,0.04742432,0.01664385,0.01281738,0.006225586,0,0,0.01188034,0.002746582,0.002502441,0.08532722,0,0.03692623,0.01489258,24.46564,23.10728,26.10381,24.19294,21.94589,25.02226,23.95461,21.51176,25.36,22.61497,21.45886,24.24731,25.74264,24.01597,25.99262,24.95922,172,0,89,36,131,64,0,0,23,17,92,160,0,107,106,90,215,98,380,137,436,62,0,0,11,100,109,419,4,160,555,245,3.03564,4.058252,18.14257,4.261715,3.228594,11.10214,2.171643,11.67808,4.980141,2.303468,4.467558,17.01805,6.330291,5.625132,23.25643,12.1905,4.976146,5.852942,22.57175,6.186675,4.422935,14.8026,3.219805,14.02854,7.280427,2.926421,5.007126,18.59064,8.205385,6.575711,27.91603,15.79637
07/28/2021 17:45:00,0,0,0,0,0,1.996406,1.52328,1.403817,1.462108,1.385787,1.637337,1.250013,1.247042,1.689379,1.421244,1.046335,1.097984,1.183493,1.26278,1.016795,1.29656,1.715659,1.388785,1.143126,1.217146,1.23099,1.405188,1.00993,0.9084976,1.322016,1.314688,0.7811963,0.8935882,0.9125699,1.01693,0.7922516,0.9808004,0.1340714,0.2095215,0.2621436,0.1821062,0.1609497,0.1243598,0.08543471,0.1159635,0.1274612,0.1217714,0.1063922,0.1114522,0.1374577,0.1123127,0.1849975,0.1571407,0.5859213,0.4523545,0.4078043,0.4264999,0.4093716,0.4804129,0.3625969,0.3551635,0.4871996,0.42331,0.2992565,0.3189279,0.3404069,0.3660804,0.2930052,0.3716705,0.8597093,0.910947,0.8149279,0.8336093,0.887939,0.8601544,0.8079576,0.728665,0.7788521,0.9252517,0.7467473,0.8129259,0.7711716,0.8061128,0.7797967,0.757307,0.2686342,0.2901374,0.3594949,0.09365828,0.6515826,0.902284,0.07532306,0.1356505,0.1232423,0.3566167,0.001861572,0.09265122,0.1969283,0.1000062,0.1606438,0.08172613,0.0004824322,0,0.1148378,0.04742432,0.03128053,0.01281738,0.006225586,0,0,0.06124474,0.002746582,0.002502441,0.08532722,0,0.03692623,0.01489258,24.4397,23.10728,26.23946,24.44647,21.99979,25.02226,23.95201,21.82868,25.35536,22.61497,21.4278,24.28505,25.6969,23.87396,25.82078,24.93462,289,15,2,15,34,67,6,0,226,51,1,1,0,15,0,6,382,125,19,112,93,221,43,0,208,197,0,0,1,17,7,29,5.987557,4.41459,18.74524,5.108931,4.727599,12.01651,2.189862,11.67808,5.42238,3.174885,5.602699,19.70683,6.330291,6.974496,23.76765,12.21969,8.967338,6.677026,23.4444,7.694565,6.457735,16.08922,3.253144,14.02854,8.248654,4.176327,6.319085,21.97589,8.214393,8.115648,28.9017,16.33123
07/28/2021 18:05:00,0,0,0,0,0,1.70727,1.586915,2.213277,1.421148,1.456438,1.586464,1.393829,1.369128,1.452216,1.5011,1.185365,1.062123,1.339206,1.191479,1.075952,1.293838,1.462152,1.476774,1.8691,1.186822,1.329179,1.464141,1.247895,1.061543,1.245073,1.369534,0.8985984,0.8118267,1.029188,0.9344481,0.8137901,0.9872185,0.1445427,0.2003746,0.2773283,0.1677395,0.1512118,0.1131523,0.08892241,0.1102893,0.1335914,0.1277455,0.1007526,0.1006865,0.1316626,0.1019177,0.1576166,0.1500993,0.5007295,0.4732405,0.647385,0.4148023,0.4325937,0.4722956,0.4123951,0.3941881,0.4260141,0.4458325,0.3399224,0.3050225,0.3849656,0.343747,0.3084228,0.3714527,0.8569495,0.931816,0.8435095,0.8330896,0.9105048,0.922154,0.8983027,0.773362,0.8574769,0.9145298,0.7578567,0.7640753,0.7636313,0.7830354,0.7558831,0.7584358,0.3945058,0.3556736,0.3594949,0.1142026,0.6515826,0.902284,0.2090892,0.1834706,0.2688008,0.4859565,0.001861572,0.09265122,0.2606158,0.1129693,0.1606438,0.08172613,0.0008544925,6.173671e-06,0.1150483,0.04742432,0.03607028,0.05990737,0.006225586,0,0.02907901,0.179968,0.002746582,0.002502441,0.08974617,0,0.03692623,0.01489258,24.37883,23.10728,26.37511,25.06739,22.22326,25.02226,24.01052,22.14561,25.26747,22.61497,21.37096,24.21198,25.65115,23.73195,25.64894,24.91001,145,34,229,16,67,132,54,43,170,79,62,0,0,28,0,36,121,181,863,104,197,285,146,100,185,173,116,0,108,47,14,179,9.210635,4.491313,22.15181,5.252881,5.455945,13.27691,3.452227,11.83052,7.466641,5.614772,5.81393,19.70683,6.423534,7.399692,23.76765,12.35422,12.93288,7.124124,27.81345,8.021026,7.49032,17.82243,4.96803,14.31158,11.17288,7.266493,6.572079,21.9776,8.400945,8.585472,28.93864,16.96868
07/28/2021 18:25:00,0,0,0,0,0,2.077164,1.58274,2.13182,1.311553,1.736561,1.568174,1.157358,1.452271,1.367537,1.452585,1.325674,1.449188,1.399325,1.59119,1.512346,1.273879,1.802691,1.473308,1.794301,1.134838,1.562242,1.464799,1.039464,1.255799,1.189037,1.378765,1.125739,1.184148,1.256888,1.37869,1.284354,1.009495,0.1562113,0.2082101,0.3227007,0.1848061,0.1610086,0.1257062,0.09233434,0.1167391,0.1293377,0.120523,0.1097495,0.1105299,0.1397081,0.1193322,0.155805,0.1418013,0.6107929,0.4720234,0.6231599,0.3854377,0.5142976,0.4680144,0.3426476,0.4267388,0.4022722,0.4349732,0.3881728,0.4212551,0.4142915,0.4677427,0.442839,0.3682115,0.8686255,0.9314908,0.8409674,0.8653196,0.9003274,0.931034,0.8980061,0.8666295,0.8695065,0.9483225,0.849587,0.8171102,0.8987321,0.8662372,0.8421569,0.7914855,0.4962603,0.4631084,0.3594949,0.1766655,0.6515826,0.902284,0.2218622,0.3658596,0.2688008,0.665524,0.0101822,0.09265122,0.414974,0.2182968,0.2689203,0.08172613,0.03897524,0.05752788,0.1226606,0.04742432,0.07849942,0.1591613,0.006225586,0,0.04763797,0.2627857,0.002746582,0.002502441,0.143921,0.04040645,0.03692623,0.0170573,24.39634,23.05992,26.51077,25.24689,22.34372,25.02216,24.01473,22.46253,25.14878,22.65389,21.19579,24.23509,25.60541,23.58994,25.48865,24.88146,335,68,309,21,85,159,0,57,140,50,86,177,0,88,101,76,355,239,842,41,323,311,19,60,96,154,163,385,98,114,405,212,12.05006,6.58541,31.37039,5.694785,7.781556,15.52388,3.797519,12.68692,8.515495,6.540535,7.823274,22.19411,7.944863,9.046887,24.37312,12.7479,16.68318,10.05488,38.85959,8.970511,10.74297,21.26802,5.392369,15.68821,12.59919,8.501917,8.963898,24.72324,10.29311,10.49587,30.13972,17.82717
07/28/2021 18:45:00,0,0,0,0,0,1.657261,1.71007,2.008888,1.533557,1.584548,1.763538,1.266697,1.322749,1.939017,1.227363,1.09312,1.038894,1.128783,1.284322,1.148125,1.744295,1.40356,1.604884,1.576255,1.285756,1.416943,1.625818,1.114788,1.140768,1.631194,1.198618,0.9075598,0.7762758,1.009621,1.076962,1.032962,1.346342,0.1874499,0.2358628,0.363981,0.2206624,0.1999252,0.1728584,0.1404758,0.1426963,0.167808,0.1494324,0.125737,0.1266759,0.1467704,0.1305729,0.1658578,0.1700769,0.4850162,0.5108631,0.579622,0.4479476,0.4687106,0.5248954,0.3735006,0.3884786,0.566746,0.3697626,0.3187048,0.2971704,0.3339104,0.375158,0.3400329,0.5017992,0.8462172,0.937665,0.7861062,0.8390173,0.8950673,0.9224844,0.8815709,0.8624806,0.8400613,0.9771027,0.8298491,0.747042,0.8927298,0.8380221,0.9035371,0.7710873,0.5591772,1.042526,0.3594949,0.1998819,0.6515826,0.902284,0.2310661,0.3660618,0.2688008,0.724916,0.0140381,0.09265122,0.414974,0.2777111,0.3593172,0.08172613,0.1211549,0.06381225,0.1597259,0.04742432,0.093532,0.2256577,0.006225586,0,0.04763797,0.3994582,0.002746582,0.002502441,0.143921,0.1019593,0.03692623,0.1501944,24.65582,23.46669,26.62156,25.1969,22.04283,25.00356,24.01091,22.77945,25.03008,22.63445,21.4523,24.25206,25.55966,23.44793,25.44626,24.69892,67,39,170,39,125,165,4,0,585,12,0,26,0,20,0,196,122,238,619,140,354,338,42,0,560,23,0,55,0,30,57,499,16.30917,7.798707,38.27278,6.00601,10.08446,18.94187,4.071777,12.79762,13.70444,7.524502,9.19064,25.77959,8.030291,10.3443,25.70163,17.94757,21.73439,11.96952,47.47455,9.580282,13.84419,26.04166,5.705226,15.82376,18.77109,9.794142,10.58251,28.78407,10.38689,11.97258,32.22874,24.05367
07/28/2021 19:05:00,0,0,0,0,0,1.91389,1.792248,1.342308,1.547615,1.697733,1.362471,1.324011,1.760588,1.651552,1.330448,1.032354,1.27147,1.491655,1.37304,1.070703,1.655493,1.670102,1.672715,0.9826284,1.312129,1.521715,1.277742,1.154821,1.497992,1.308429,1.288027,0.8531539,0.9425334,1.348133,1.245825,0.995083,1.235473,0.2102603,0.2695765,0.3674558,0.2305581,0.222113,0.1819825,0.1515242,0.179626,0.206632,0.1774576,0.1357949,0.1441854,0.1777769,0.1458613,0.1760675,0.198676,0.5633864,0.5347962,0.3826093,0.4530219,0.5024269,0.406961,0.3897095,0.5157155,0.4773534,0.4000711,0.3007256,0.3631984,0.442179,0.407342,0.3192121,0.473444,0.8746415,0.9344785,0.7316498,0.8469635,0.89629,0.9395225,0.8725298,0.8518642,0.7893205,0.9679831,0.8259842,0.7417629,0.9042407,0.9070445,0.9302532,0.745451,0.6303848,1.120269,0.3594949,0.286738,0.6515826,0.902284,0.4100871,0.4568515,0.2688008,0.7995049,0.0140381,0.09265122,0.4428281,0.3972331,0.3702724,0.08172613,0.2072938,0.1192211,0.172455,0.04742432,0.1117959,0.2728493,0.006225586,0.02315682,0.04763797,0.4614874,0.002746582,0.002772217,0.1506316,0.1019593,0.03692623,0.229294,24.9391,24.69307,26.57038,25.14691,22.17306,24.97131,24.05626,22.41477,24.91139,22.5797,21.46734,24.1548,25.51392,23.30592,25.43472,24.59973,365,231,0,39,101,95,16,164,299,22,0,204,0,48,17,221,470,548,38,149,320,205,31,244,240,84,0,325,50,78,91,451,19.03251,10.18484,40.67598,6.357261,13.88292,20.74415,4.416449,13.99844,18.41381,7.941764,9.19064,27.64362,8.11241,11.09019,25.7223,22.49151,25.22145,15.44219,50.7217,10.4553,18.69545,28.56713,6.233489,17.32062,24.88066,10.44085,10.58251,30.82881,10.4993,12.84471,32.40275,29.69481
07/28/2021 19:25:00,0,0,0,0,0,1.64886,1.789799,1.522547,1.366176,1.478559,1.726194,1.344129,1.566914,1.644055,1.348672,1.225775,1.230908,1.449304,1.276973,1.251818,1.494132,1.402701,1.647671,1.110656,1.178297,1.312845,1.623622,1.244018,1.369767,1.202209,1.299517,1.048644,0.9137318,1.306846,1.194809,1.183041,1.132048,0.1916444,0.2607788,0.3020498,0.1969147,0.1975788,0.1506831,0.1101968,0.1483187,0.1935485,0.1567903,0.1231345,0.1497349,0.1693279,0.1338438,0.1552123,0.1819173,0.4829726,0.5325553,0.4337245,0.4012377,0.4367405,0.5159194,0.4003859,0.4614102,0.4685318,0.405143,0.3594348,0.3516957,0.4294246,0.3812405,0.3745114,0.4284253,0.8511589,0.9192474,0.7279203,0.861726,0.8883661,0.9408941,0.926247,0.8758398,0.7303908,0.9651983,0.8530461,0.7474342,0.9010088,0.9355492,0.9484307,0.7629322,0.6827481,1.208515,0.3594949,0.3592329,0.6515826,0.9647219,0.4664583,0.6070514,0.2688008,0.8459777,0.0140381,0.09265122,0.5277054,0.4539195,0.6607037,0.08172613,0.256897,0.2641549,0.172455,0.04742432,0.1126709,0.3191331,0.05990869,0.2180054,0.05318582,0.4614874,0.002746582,0.006652829,0.2056739,0.1019593,0.03692623,0.2646681,25.13355,25.04979,26.48994,25.09691,21.84227,24.93904,24.08278,21.24105,24.79269,22.76568,21.47429,23.73965,25.46817,23.16391,25.42318,24.58661,141,151,28,50,55,233,8,156,435,38,95,247,10,55,50,226,119,493,64,54,209,511,58,308,371,74,95,412,119,41,148,499,23.52857,13.40966,40.9233,6.883454,16.22722,22.66861,4.692097,17.31981,21.63836,8.554111,9.916349,35.62804,8.968638,11.92656,26.46338,25.4766,30.76167,19.87613,51.09481,11.32842,21.69308,31.55133,6.647701,21.12524,28.89745,11.1919,11.43864,39.95773,11.52121,13.8363,33.65014,34.50282
07/28/2021 19:45:00,0,0,0,0,0,1.730033,1.70394,1.86919,1.460363,1.600186,1.689539,1.506091,1.64406,1.726401,1.335363,1.091972,1.135612,1.505521,1.76508,1.331634,1.479067,1.523237,1.558262,1.402606,1.333319,1.454657,1.547557,1.40583,1.409715,1.276726,1.262242,0.9871562,0.8406208,1.333175,1.597358,1.284255,1.090451,0.169156,0.2472023,0.3249353,0.1849165,0.1750231,0.1323849,0.09918017,0.1353308,0.2019658,0.1571793,0.1042294,0.1298478,0.1558955,0.139424,0.1363326,0.1674602,0.5101656,0.5063199,0.5350656,0.4337965,0.4749111,0.5022042,0.4494212,0.4823031,0.4929483,0.3995224,0.3237153,0.3243103,0.4444651,0.5233716,0.4001012,0.4221024,0.8804535,0.9154859,0.7488494,0.9133172,0.907383,0.9220682,0.932997,0.8577634,0.7397346,0.955404,0.9038673,0.7410554,0.8821707,0.9068424,0.9641557,0.7370396,0.7377973,1.208515,0.3594949,0.4324672,0.6515826,0.9776617,0.4866243,0.6070514,0.2688008,0.9879748,0.0140381,0.09265122,0.5734455,0.4539195,0.6652844,0.08172613,0.3177804,0.2641907,0.1914803,0.04742432,0.1126709,0.3214726,0.07662965,0.2445078,0.08740143,0.5088313,0.002746582,0.0079697,0.2685049,0.1019593,0.03692623,0.2726753,25.23431,24.7817,26.4095,25.04692,22.08708,24.9706,24.0747,21.98518,24.67856,22.85742,21.25947,23.58271,25.40723,22.96151,25.41164,24.5735,482,108,149,75,88,270,120,418,431,21,99,153,0,260,26,154,590,255,492,164,326,585,281,600,399,29,146,299,113,384,143,410,26.94683,18.03697,45.25497,7.515867,18.14039,27.98661,5.725542,25.59037,26.85426,9.331833,12.27541,38.56936,11.10736,14.71607,26.68499,27.94985,35.06404,25.75591,56.44635,12.56737,24.15306,38.6265,7.996514,30.39399,35.38003,12.22958,14.26895,43.28836,13.95071,17.01886,34.24989,38.58063
