,Features,Intercept,C(Group)[T.Group_2],C(Group)[T.Group_3],bodymass,bodymass:C(Group)[T.Group_2],bodymass:C(Group)[T.Group_3]
0,rq,2.667315291918001e-17,0.6411331873202336,0.10215037632273526,,,
1,locomotor_activity,6.05170341206856e-07,0.0860861409017499,0.7361742585071109,,,
2,actual_pedmeters_cumsum,8.663332866678207e-05,0.15150636961208994,0.1360292360083914,,,
3,actual_allmeters_cumsum,1.005044825430194e-05,0.09055284502217738,0.15307765203605134,,,
4,Energy_Balance,0.009621460238144917,0.039051136117295056,0.03899114237413753,0.07434392259835972,0.16113883708434443,0.15317190261334718
5,kcal_hr,0.4027672868522746,0.3950337850673654,0.6172853346034685,0.9697306154036247,0.4027808793058303,0.6583498075157486
6,vo2,0.4422799073788841,0.419731251037079,0.6786040213352869,0.947255252030351,0.4263979434790913,0.7170281230710704
7,vco2,0.24834250616659262,0.2965320305891559,0.3588035305805899,0.9112410751789647,0.308358325266896,0.4035799421483668
8,actual_foodupa,0.009347018046892,0.03806222179351507,0.03824124636105051,0.07373620935829052,0.15801556442044284,0.15112950542722045
9,actual_waterupa,0.44507225103584425,0.4112424347353445,0.2243074576479835,0.5459006695912045,0.38796214111532545,0.22000932957579095
10,Energy_Balance,0.0012207505732890799,3.3417011090876706e-10,2.8226740015754277e-09,0.252576165938985,,
11,kcal_hr,0.5166215762948898,0.7177157700961627,0.3625951993034766,0.09462121107994736,,
12,vo2,0.5296375528013593,0.7629147996045893,0.43262316486042074,0.11163445387693942,,
13,vco2,0.47032897250840655,0.5151603869495536,0.1363726577456037,0.04523583383573714,,
14,actual_foodupa,0.0011968860570891887,3.288229082729405e-10,2.766257252054547e-09,0.25819832988510144,,
15,actual_waterupa,0.4125611057350006,0.34274843954760825,0.8551318142328449,0.21824548415765366,,
